Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8
54,467,482,528,487,503,531,488,508,506,10.38,10.71,11.73,10.82,11.18,11.8,10.84,11.29,11.24
55,489,525,495,451,508,499,512,504,517,10.87,11.67,11.0,10.02,11.29,11.09,11.38,11.2,11.49
56,529,448,509,470,501,486,549,510,498,11.76,9.96,11.31,10.44,11.13,10.8,12.2,11.33,11.07
57,505,482,534,498,545,487,484,491,474,11.22,10.71,11.87,11.07,12.11,10.82,10.76,10.91,10.53
58,504,513,500,518,512,470,492,470,521,11.2,11.4,11.11,11.51,11.38,10.44,10.93,10.44,11.58
59,466,543,472,510,506,498,539,477,489,10.36,12.07,10.49,11.33,11.24,11.07,11.98,10.6,10.87
60,501,483,535,486,500,521,478,512,484,11.13,10.73,11.89,10.8,11.11,11.58,10.62,11.38,10.76
61,504,508,501,492,492,520,491,492,500,11.2,11.29,11.13,10.93,10.93,11.56,10.91,10.93,11.11
62,543,535,454,475,468,519,505,499,502,12.07,11.89,10.09,10.56,10.4,11.53,11.22,11.09,11.16
63,501,480,494,492,484,529,516,511,493,11.13,10.67,10.98,10.93,10.76,11.76,11.47,11.36,10.96
64,509,524,507,478,507,480,502,487,506,11.31,11.64,11.27,10.62,11.27,10.67,11.16,10.82,11.24
65,511,512,494,482,514,487,515,490,495,11.36,11.38,10.98,10.71,11.42,10.82,11.44,10.89,11.0
66,528,471,476,494,520,545,505,502,459,11.73,10.47,10.58,10.98,11.56,12.11,11.22,11.16,10.2
67,493,477,508,484,512,518,520,494,494,10.96,10.6,11.29,10.76,11.38,11.51,11.56,10.98,10.98
68,509,495,484,533,486,479,515,489,510,11.31,11.0,10.76,11.84,10.8,10.64,11.44,10.87,11.33
69,512,477,513,510,484,510,480,494,520,11.38,10.6,11.4,11.33,10.76,11.33,10.67,10.98,11.56
70,519,469,503,495,503,521,517,477,496,11.53,10.42,11.18,11.0,11.18,11.58,11.49,10.6,11.02
71,494,523,516,501,502,494,481,475,514,10.98,11.62,11.47,11.13,11.16,10.98,10.69,10.56,11.42
72,533,484,475,497,504,495,509,489,514,11.84,10.76,10.56,11.04,11.2,11.0,11.31,10.87,11.42
73,488,485,526,543,446,470,537,468,537,10.84,10.78,11.69,12.07,9.91,10.44,11.93,10.4,11.93
74,479,504,535,526,475,521,512,484,464,10.64,11.2,11.89,11.69,10.56,11.58,11.38,10.76,10.31
75,521,480,495,527,499,515,473,505,485,11.58,10.67,11.0,11.71,11.09,11.44,10.51,11.22,10.78
76,469,512,497,477,511,485,525,521,503,10.42,11.38,11.04,10.6,11.36,10.78,11.67,11.58,11.18
77,471,511,547,485,487,484,485,516,514,10.47,11.36,12.16,10.78,10.82,10.76,10.78,11.47,11.42
78,524,509,508,452,469,544,507,468,519,11.64,11.31,11.29,10.04,10.42,12.09,11.27,10.4,11.53
79,471,506,526,469,487,530,507,488,516,10.47,11.24,11.69,10.42,10.82,11.78,11.27,10.84,11.47
80,514,499,486,489,500,500,478,526,508,11.42,11.09,10.8,10.87,11.11,11.11,10.62,11.69,11.29
81,483,515,527,493,492,516,476,525,473,10.73,11.44,11.71,10.96,10.93,11.47,10.58,11.67,10.51
82,464,514,522,495,513,504,501,506,481,10.31,11.42,11.6,11.0,11.4,11.2,11.13,11.24,10.69
83,464,496,564,507,505,486,491,496,491,10.31,11.02,12.53,11.27,11.22,10.8,10.91,11.02,10.91
84,499,476,518,490,500,497,519,504,497,11.09,10.58,11.51,10.89,11.11,11.04,11.53,11.2,11.04
85,511,500,486,473,515,497,528,486,504,11.36,11.11,10.8,10.51,11.44,11.04,11.73,10.8,11.2
86,476,521,514,500,468,508,526,495,492,10.58,11.58,11.42,11.11,10.4,11.29,11.69,11.0,10.93
87,466,523,524,482,511,510,499,480,505,10.36,11.62,11.64,10.71,11.36,11.33,11.09,10.67,11.22
88,499,486,475,512,562,493,514,462,497,11.09,10.8,10.56,11.38,12.49,10.96,11.42,10.27,11.04
89,476,502,521,507,509,479,507,486,513,10.58,11.16,11.58,11.27,11.31,10.64,11.27,10.8,11.4
90,546,482,478,473,450,498,540,511,522,12.13,10.71,10.62,10.51,10.0,11.07,12.0,11.36,11.6
91,521,512,541,487,494,494,496,472,483,11.58,11.38,12.02,10.82,10.98,10.98,11.02,10.49,10.73
92,491,502,507,487,533,519,462,500,499,10.91,11.16,11.27,10.82,11.84,11.53,10.27,11.11,11.09
93,500,471,492,476,495,536,510,519,501,11.11,10.47,10.93,10.58,11.0,11.91,11.33,11.53,11.13
94,491,501,514,523,494,485,486,496,510,10.91,11.13,11.42,11.62,10.98,10.78,10.8,11.02,11.33
95,462,449,486,546,526,519,496,492,524,10.27,9.98,10.8,12.13,11.69,11.53,11.02,10.93,11.64
96,475,510,513,469,493,513,496,541,490,10.56,11.33,11.4,10.42,10.96,11.4,11.02,12.02,10.89
97,495,502,515,502,477,497,502,497,513,11.0,11.16,11.44,11.16,10.6,11.04,11.16,11.04,11.4
98,550,508,487,505,463,489,469,513,516,12.22,11.29,10.82,11.22,10.29,10.87,10.42,11.4,11.47
99,504,495,516,496,467,505,504,502,511,11.2,11.0,11.47,11.02,10.38,11.22,11.2,11.16,11.36
100,509,487,490,514,529,496,479,484,512,11.31,10.82,10.89,11.42,11.76,11.02,10.64,10.76,11.38
101,480,470,510,500,497,505,522,512,504,10.67,10.44,11.33,11.11,11.04,11.22,11.6,11.38,11.2
102,464,516,462,569,480,485,509,478,537,10.31,11.47,10.27,12.64,10.67,10.78,11.31,10.62,11.93
103,503,518,491,452,485,471,514,544,522,11.18,11.51,10.91,10.04,10.78,10.47,11.42,12.09,11.6
104,524,509,508,494,500,503,473,488,501,11.64,11.31,11.29,10.98,11.11,11.18,10.51,10.84,11.13
105,524,511,488,489,484,522,494,525,463,11.64,11.36,10.84,10.87,10.76,11.6,10.98,11.67,10.29
106,506,444,506,510,504,488,490,514,538,11.24,9.87,11.24,11.33,11.2,10.84,10.89,11.42,11.96
107,461,518,470,521,485,505,517,531,492,10.24,11.51,10.44,11.58,10.78,11.22,11.49,11.8,10.93
108,525,478,472,537,503,489,524,486,486,11.67,10.62,10.49,11.93,11.18,10.87,11.64,10.8,10.8
109,517,527,572,511,467,490,481,478,457,11.49,11.71,12.71,11.36,10.38,10.89,10.69,10.62,10.16
110,503,479,482,526,515,513,476,517,489,11.18,10.64,10.71,11.69,11.44,11.4,10.58,11.49,10.87
111,485,546,532,460,496,472,509,488,512,10.78,12.13,11.82,10.22,11.02,10.49,11.31,10.84,11.38
112,498,507,510,452,523,482,521,503,504,11.07,11.27,11.33,10.04,11.62,10.71,11.58,11.18,11.2
113,449,495,512,499,480,534,544,508,479,9.98,11.0,11.38,11.09,10.67,11.87,12.09,11.29,10.64
114,445,481,518,551,503,466,543,508,485,9.89,10.69,11.51,12.24,11.18,10.36,12.07,11.29,10.78
115,493,499,495,500,517,511,495,493,497,10.96,11.09,11.0,11.11,11.49,11.36,11.0,10.96,11.04
116,499,522,501,448,521,503,499,511,496,11.09,11.6,11.13,9.96,11.58,11.18,11.09,11.36,11.02
117,487,504,482,482,533,523,505,517,467,10.82,11.2,10.71,10.71,11.84,11.62,11.22,11.49,10.38
118,507,520,515,496,484,500,482,500,496,11.27,11.56,11.44,11.02,10.76,11.11,10.71,11.11,11.02
120,518,514,516,512,482,463,499,479,517,11.51,11.42,11.47,11.38,10.71,10.29,11.09,10.64,11.49
121,490,478,541,524,505,500,488,472,502,10.89,10.62,12.02,11.64,11.22,11.11,10.84,10.49,11.16
122,489,484,503,531,495,491,502,517,488,10.87,10.76,11.18,11.8,11.0,10.91,11.16,11.49,10.84
