Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11
18,478,502,496,523,500,520,512,502,495,477,502,493,7.97,8.37,8.27,8.72,8.33,8.67,8.53,8.37,8.25,7.95,8.37,8.22
19,510,503,440,509,502,519,515,555,486,487,474,500,8.5,8.38,7.33,8.48,8.37,8.65,8.58,9.25,8.1,8.12,7.9,8.33
20,459,524,503,491,521,497,464,505,500,516,524,496,7.65,8.73,8.38,8.18,8.68,8.28,7.73,8.42,8.33,8.6,8.73,8.27
21,501,504,486,475,495,537,491,523,504,491,493,500,8.35,8.4,8.1,7.92,8.25,8.95,8.18,8.72,8.4,8.18,8.22,8.33
22,511,518,477,475,490,505,494,518,514,490,513,495,8.52,8.63,7.95,7.92,8.17,8.42,8.23,8.63,8.57,8.17,8.55,8.25
23,495,522,465,494,484,528,523,497,529,479,477,507,8.25,8.7,7.75,8.23,8.07,8.8,8.72,8.28,8.82,7.98,7.95,8.45
24,500,527,543,503,462,493,469,507,500,473,506,517,8.33,8.78,9.05,8.38,7.7,8.22,7.82,8.45,8.33,7.88,8.43,8.62
25,475,503,521,479,510,505,499,512,513,476,524,483,7.92,8.38,8.68,7.98,8.5,8.42,8.32,8.53,8.55,7.93,8.73,8.05
26,476,471,496,503,492,516,516,504,507,487,509,523,7.93,7.85,8.27,8.38,8.2,8.6,8.6,8.4,8.45,8.12,8.48,8.72
27,505,515,490,485,510,505,488,533,503,510,493,463,8.42,8.58,8.17,8.08,8.5,8.42,8.13,8.88,8.38,8.5,8.22,7.72
28,500,548,500,504,496,506,509,485,494,491,477,490,8.33,9.13,8.33,8.4,8.27,8.43,8.48,8.08,8.23,8.18,7.95,8.17
29,481,493,518,490,457,520,515,523,484,497,506,516,8.02,8.22,8.63,8.17,7.62,8.67,8.58,8.72,8.07,8.28,8.43,8.6
30,503,544,490,492,465,494,496,467,514,494,520,521,8.38,9.07,8.17,8.2,7.75,8.23,8.27,7.78,8.57,8.23,8.67,8.68
31,518,532,502,503,509,491,454,504,535,467,513,472,8.63,8.87,8.37,8.38,8.48,8.18,7.57,8.4,8.92,7.78,8.55,7.87
32,483,501,509,540,530,500,444,501,495,476,512,509,8.05,8.35,8.48,9.0,8.83,8.33,7.4,8.35,8.25,7.93,8.53,8.48
33,524,484,531,522,477,474,512,491,497,502,483,503,8.73,8.07,8.85,8.7,7.95,7.9,8.53,8.18,8.28,8.37,8.05,8.38
34,536,500,483,495,468,496,498,501,485,498,511,529,8.93,8.33,8.05,8.25,7.8,8.27,8.3,8.35,8.08,8.3,8.52,8.82
35,474,506,507,507,487,506,494,510,522,473,518,496,7.9,8.43,8.45,8.45,8.12,8.43,8.23,8.5,8.7,7.88,8.63,8.27
36,470,514,493,501,495,477,512,533,481,494,519,511,7.83,8.57,8.22,8.35,8.25,7.95,8.53,8.88,8.02,8.23,8.65,8.52
37,487,507,533,501,495,500,526,476,483,486,485,521,8.12,8.45,8.88,8.35,8.25,8.33,8.77,7.93,8.05,8.1,8.08,8.68
38,546,474,465,483,536,466,535,468,506,523,513,485,9.1,7.9,7.75,8.05,8.93,7.77,8.92,7.8,8.43,8.72,8.55,8.08
39,467,489,495,488,515,491,491,543,525,490,519,487,7.78,8.15,8.25,8.13,8.58,8.18,8.18,9.05,8.75,8.17,8.65,8.12
40,471,508,532,515,487,461,513,488,488,498,504,535,7.85,8.47,8.87,8.58,8.12,7.68,8.55,8.13,8.13,8.3,8.4,8.92
41,507,521,493,493,492,484,486,514,482,502,503,523,8.45,8.68,8.22,8.22,8.2,8.07,8.1,8.57,8.03,8.37,8.38,8.72
42,500,493,491,496,523,510,478,488,527,494,505,495,8.33,8.22,8.18,8.27,8.72,8.5,7.97,8.13,8.78,8.23,8.42,8.25
43,495,515,467,454,510,515,502,474,524,526,510,508,8.25,8.58,7.78,7.57,8.5,8.58,8.37,7.9,8.73,8.77,8.5,8.47
44,516,497,513,537,474,535,507,491,469,481,486,494,8.6,8.28,8.55,8.95,7.9,8.92,8.45,8.18,7.82,8.02,8.1,8.23
45,498,482,507,520,516,476,481,489,489,500,515,527,8.3,8.03,8.45,8.67,8.6,7.93,8.02,8.15,8.15,8.33,8.58,8.78
46,476,483,504,506,519,486,487,514,531,537,475,482,7.93,8.05,8.4,8.43,8.65,8.1,8.12,8.57,8.85,8.95,7.92,8.03
47,487,537,508,503,519,496,468,484,491,519,500,488,8.12,8.95,8.47,8.38,8.65,8.27,7.8,8.07,8.18,8.65,8.33,8.13
48,501,515,495,468,516,460,559,493,480,510,463,540,8.35,8.58,8.25,7.8,8.6,7.67,9.32,8.22,8.0,8.5,7.72,9.0
49,516,541,491,514,493,535,464,502,512,480,446,506,8.6,9.02,8.18,8.57,8.22,8.92,7.73,8.37,8.53,8.0,7.43,8.43
50,498,502,483,525,513,460,501,526,498,474,525,495,8.3,8.37,8.05,8.75,8.55,7.67,8.35,8.77,8.3,7.9,8.75,8.25
51,506,472,530,507,473,493,532,489,483,510,501,504,8.43,7.87,8.83,8.45,7.88,8.22,8.87,8.15,8.05,8.5,8.35,8.4
52,489,486,491,471,513,516,490,460,482,519,556,527,8.15,8.1,8.18,7.85,8.55,8.6,8.17,7.67,8.03,8.65,9.27,8.78
53,528,506,490,458,480,496,518,536,519,494,450,525,8.8,8.43,8.17,7.63,8.0,8.27,8.63,8.93,8.65,8.23,7.5,8.75
54,506,507,511,489,508,472,485,491,479,513,524,515,8.43,8.45,8.52,8.15,8.47,7.87,8.08,8.18,7.98,8.55,8.73,8.58
55,480,501,493,492,502,491,506,483,488,493,550,521,8.0,8.35,8.22,8.2,8.37,8.18,8.43,8.05,8.13,8.22,9.17,8.68
56,475,504,521,498,482,513,551,514,474,502,494,472,7.92,8.4,8.68,8.3,8.03,8.55,9.18,8.57,7.9,8.37,8.23,7.87
57,509,487,457,509,515,495,520,509,502,515,486,496,8.48,8.12,7.62,8.48,8.58,8.25,8.67,8.48,8.37,8.58,8.1,8.27
58,508,471,505,502,520,475,498,492,517,495,523,494,8.47,7.85,8.42,8.37,8.67,7.92,8.3,8.2,8.62,8.25,8.72,8.23
59,516,517,504,486,492,527,505,471,488,497,501,496,8.6,8.62,8.4,8.1,8.2,8.78,8.42,7.85,8.13,8.28,8.35,8.27
60,553,479,496,461,487,508,521,501,490,494,507,503,9.22,7.98,8.27,7.68,8.12,8.47,8.68,8.35,8.17,8.23,8.45,8.38
61,514,478,493,504,520,508,492,489,534,471,517,480,8.57,7.97,8.22,8.4,8.67,8.47,8.2,8.15,8.9,7.85,8.62,8.0
62,515,482,505,540,516,470,479,480,517,498,519,479,8.58,8.03,8.42,9.0,8.6,7.83,7.98,8.0,8.62,8.3,8.65,7.98
63,490,534,476,485,495,493,502,519,474,541,476,515,8.17,8.9,7.93,8.08,8.25,8.22,8.37,8.65,7.9,9.02,7.93,8.58
64,482,512,490,481,489,531,536,457,476,514,501,531,8.03,8.53,8.17,8.02,8.15,8.85,8.93,7.62,7.93,8.57,8.35,8.85
65,493,480,490,506,497,501,475,512,488,505,512,541,8.22,8.0,8.17,8.43,8.28,8.35,7.92,8.53,8.13,8.42,8.53,9.02
66,542,471,473,491,492,510,512,505,503,514,527,460,9.03,7.85,7.88,8.18,8.2,8.5,8.53,8.42,8.38,8.57,8.78,7.67
67,535,501,510,489,521,478,497,475,493,453,571,477,8.92,8.35,8.5,8.15,8.68,7.97,8.28,7.92,8.22,7.55,9.52,7.95
68,508,497,520,457,499,506,505,511,520,493,515,469,8.47,8.28,8.67,7.62,8.32,8.43,8.42,8.52,8.67,8.22,8.58,7.82
69,480,511,502,521,517,510,482,482,492,513,483,507,8.0,8.52,8.37,8.68,8.62,8.5,8.03,8.03,8.2,8.55,8.05,8.45
70,527,504,469,500,489,491,542,514,480,468,490,526,8.78,8.4,7.82,8.33,8.15,8.18,9.03,8.57,8.0,7.8,8.17,8.77
71,512,481,513,450,524,466,502,463,506,552,530,501,8.53,8.02,8.55,7.5,8.73,7.77,8.37,7.72,8.43,9.2,8.83,8.35
72,549,502,523,514,479,482,461,491,513,496,483,507,9.15,8.37,8.72,8.57,7.98,8.03,7.68,8.18,8.55,8.27,8.05,8.45
73,511,516,511,499,507,497,495,526,468,462,502,506,8.52,8.6,8.52,8.32,8.45,8.28,8.25,8.77,7.8,7.7,8.37,8.43
74,521,489,511,506,486,463,475,512,524,485,513,515,8.68,8.15,8.52,8.43,8.1,7.72,7.92,8.53,8.73,8.08,8.55,8.58
75,477,530,540,498,521,498,499,518,486,452,478,503,7.95,8.83,9.0,8.3,8.68,8.3,8.32,8.63,8.1,7.53,7.97,8.38
76,501,491,495,509,557,510,488,494,508,487,464,496,8.35,8.18,8.25,8.48,9.28,8.5,8.13,8.23,8.47,8.12,7.73,8.27
77,535,506,495,527,455,504,501,489,504,491,505,488,8.92,8.43,8.25,8.78,7.58,8.4,8.35,8.15,8.4,8.18,8.42,8.13
78,528,507,506,497,482,507,494,483,544,492,495,465,8.8,8.45,8.43,8.28,8.03,8.45,8.23,8.05,9.07,8.2,8.25,7.75
79,476,523,504,513,489,484,510,497,480,520,489,515,7.93,8.72,8.4,8.55,8.15,8.07,8.5,8.28,8.0,8.67,8.15,8.58
80,500,461,512,491,521,498,494,460,502,501,502,558,8.33,7.68,8.53,8.18,8.68,8.3,8.23,7.67,8.37,8.35,8.37,9.3
81,484,530,540,524,483,512,479,482,485,496,462,523,8.07,8.83,9.0,8.73,8.05,8.53,7.98,8.03,8.08,8.27,7.7,8.72
82,517,460,517,505,502,511,518,506,467,489,493,515,8.62,7.67,8.62,8.42,8.37,8.52,8.63,8.43,7.78,8.15,8.22,8.58
83,500,507,513,517,479,460,493,500,493,522,504,512,8.33,8.45,8.55,8.62,7.98,7.67,8.22,8.33,8.22,8.7,8.4,8.53
84,532,487,490,507,483,510,498,497,493,507,477,519,8.87,8.12,8.17,8.45,8.05,8.5,8.3,8.28,8.22,8.45,7.95,8.65
85,499,513,558,469,467,490,499,495,550,504,486,470,8.32,8.55,9.3,7.82,7.78,8.17,8.32,8.25,9.17,8.4,8.1,7.83
86,493,522,509,508,447,483,510,519,466,511,553,479,8.22,8.7,8.48,8.47,7.45,8.05,8.5,8.65,7.77,8.52,9.22,7.98
87,468,522,529,487,515,478,498,504,462,520,492,525,7.8,8.7,8.82,8.12,8.58,7.97,8.3,8.4,7.7,8.67,8.2,8.75
88,504,506,467,529,490,494,506,482,486,519,519,498,8.4,8.43,7.78,8.82,8.17,8.23,8.43,8.03,8.1,8.65,8.65,8.3
89,491,492,537,507,519,453,478,512,536,473,521,481,8.18,8.2,8.95,8.45,8.65,7.55,7.97,8.53,8.93,7.88,8.68,8.02
90,504,466,489,522,513,516,485,527,509,507,481,481,8.4,7.77,8.15,8.7,8.55,8.6,8.08,8.78,8.48,8.45,8.02,8.02
91,531,495,465,460,492,496,506,525,458,539,500,533,8.85,8.25,7.75,7.67,8.2,8.27,8.43,8.75,7.63,8.98,8.33,8.88
92,504,502,488,498,531,496,512,487,498,499,482,503,8.4,8.37,8.13,8.3,8.85,8.27,8.53,8.12,8.3,8.32,8.03,8.38
94,489,491,505,482,500,507,512,520,475,491,508,520,8.15,8.18,8.42,8.03,8.33,8.45,8.53,8.67,7.92,8.18,8.47,8.67
95,506,481,513,483,521,501,514,529,495,469,509,479,8.43,8.02,8.55,8.05,8.68,8.35,8.57,8.82,8.25,7.82,8.48,7.98
96,494,497,533,472,514,508,520,486,472,466,523,515,8.23,8.28,8.88,7.87,8.57,8.47,8.67,8.1,7.87,7.77,8.72,8.58
