Run #,Times 0,Times 1,Times 2,Times 3,Percent 0,Percent 1,Percent 2,Percent 3
70,512,468,513,507,25.6,23.4,25.65,25.35
71,503,517,506,474,25.15,25.85,25.3,23.7
72,488,548,491,473,24.4,27.4,24.55,23.65
73,481,475,533,511,24.05,23.75,26.65,25.55
74,512,524,494,470,25.6,26.2,24.7,23.5
75,513,487,479,521,25.65,24.35,23.95,26.05
76,510,497,485,508,25.5,24.85,24.25,25.4
77,486,518,500,496,24.3,25.9,25.0,24.8
78,520,461,499,520,26.0,23.05,24.95,26.0
79,501,528,474,497,25.05,26.4,23.7,24.85
80,515,497,486,502,25.75,24.85,24.3,25.1
81,508,483,524,485,25.4,24.15,26.2,24.25
82,530,499,475,496,26.5,24.95,23.75,24.8
83,525,519,484,472,26.25,25.95,24.2,23.6
84,492,482,500,526,24.6,24.1,25.0,26.3
85,506,482,496,516,25.3,24.1,24.8,25.8
86,481,491,511,517,24.05,24.55,25.55,25.85
87,470,500,512,518,23.5,25.0,25.6,25.9
88,470,517,518,495,23.5,25.85,25.9,24.75
89,492,513,480,515,24.6,25.65,24.0,25.75
90,485,499,519,497,24.25,24.95,25.95,24.85
91,496,502,500,502,24.8,25.1,25.0,25.1
92,492,529,538,441,24.6,26.45,26.9,22.05
93,507,489,527,477,25.35,24.45,26.35,23.85
94,488,505,500,507,24.4,25.25,25.0,25.35
95,499,481,509,511,24.95,24.05,25.45,25.55
96,519,505,475,501,25.95,25.25,23.75,25.05
97,490,479,519,512,24.5,23.95,25.95,25.6
98,535,491,479,495,26.75,24.55,23.95,24.75
99,517,483,519,481,25.85,24.15,25.95,24.05
100,540,510,468,482,27.0,25.5,23.4,24.1
101,500,511,507,482,25.0,25.55,25.35,24.1
102,499,487,493,521,24.95,24.35,24.65,26.05
103,510,507,477,506,25.5,25.35,23.85,25.3
104,502,497,499,502,25.1,24.85,24.95,25.1
105,462,488,545,505,23.1,24.4,27.25,25.25
106,505,489,514,492,25.25,24.45,25.7,24.6
107,477,543,498,482,23.85,27.15,24.9,24.1
108,498,466,525,511,24.9,23.3,26.25,25.55
109,499,535,453,513,24.95,26.75,22.65,25.65
110,533,485,483,499,26.65,24.25,24.15,24.95
111,499,484,488,529,24.95,24.2,24.4,26.45
112,494,509,473,524,24.7,25.45,23.65,26.2
113,506,494,504,496,25.3,24.7,25.2,24.8
114,479,501,510,510,23.95,25.05,25.5,25.5
115,518,469,529,484,25.9,23.45,26.45,24.2
116,484,505,502,509,24.2,25.25,25.1,25.45
117,477,502,512,509,23.85,25.1,25.6,25.45
118,494,515,490,501,24.7,25.75,24.5,25.05
119,518,494,458,530,25.9,24.7,22.9,26.5
120,524,516,455,505,26.2,25.8,22.75,25.25
121,483,528,521,468,24.15,26.4,26.05,23.4
122,472,519,481,528,23.6,25.95,24.05,26.4
123,519,510,474,497,25.95,25.5,23.7,24.85
124,485,513,514,488,24.25,25.65,25.7,24.4
125,498,539,474,489,24.9,26.95,23.7,24.45
126,534,489,504,473,26.7,24.45,25.2,23.65
127,469,518,516,497,23.45,25.9,25.8,24.85
128,465,510,513,512,23.25,25.5,25.65,25.6
129,521,486,487,506,26.05,24.3,24.35,25.3
130,492,486,512,510,24.6,24.3,25.6,25.5
131,485,501,492,522,24.25,25.05,24.6,26.1
132,490,478,541,491,24.5,23.9,27.05,24.55
133,537,503,488,472,26.85,25.15,24.4,23.6
134,522,486,468,524,26.1,24.3,23.4,26.2
135,465,533,498,504,23.25,26.65,24.9,25.2
136,519,505,475,501,25.95,25.25,23.75,25.05
137,507,483,497,513,25.35,24.15,24.85,25.65
138,498,477,488,537,24.9,23.85,24.4,26.85
139,522,507,469,502,26.1,25.35,23.45,25.1
140,438,540,522,500,21.9,27.0,26.1,25.0
141,546,495,457,502,27.3,24.75,22.85,25.1
142,531,502,497,470,26.55,25.1,24.85,23.5
143,515,487,502,496,25.75,24.35,25.1,24.8
144,523,505,470,502,26.15,25.25,23.5,25.1
145,505,502,486,507,25.25,25.1,24.3,25.35
146,484,507,470,539,24.2,25.35,23.5,26.95
147,493,508,527,472,24.65,25.4,26.35,23.6
148,478,499,509,514,23.9,24.95,25.45,25.7
149,486,504,517,493,24.3,25.2,25.85,24.65
150,487,506,501,506,24.35,25.3,25.05,25.3
151,499,497,516,488,24.95,24.85,25.8,24.4
152,496,496,491,517,24.8,24.8,24.55,25.85
153,473,537,481,509,23.65,26.85,24.05,25.45
154,499,512,475,514,24.95,25.6,23.75,25.7
155,497,494,511,498,24.85,24.7,25.55,24.9
156,531,548,459,462,26.55,27.4,22.95,23.1
157,513,494,502,491,25.65,24.7,25.1,24.55
158,511,505,521,463,25.55,25.25,26.05,23.15
159,536,461,506,497,26.8,23.05,25.3,24.85
160,511,492,489,508,25.55,24.6,24.45,25.4
161,515,494,479,512,25.75,24.7,23.95,25.6
162,518,518,487,477,25.9,25.9,24.35,23.85
163,523,466,496,515,26.15,23.3,24.8,25.75
164,502,537,476,485,25.1,26.85,23.8,24.25
165,489,485,514,512,24.45,24.25,25.7,25.6
166,474,488,520,518,23.7,24.4,26.0,25.9
167,497,535,471,497,24.85,26.75,23.55,24.85
168,517,481,510,492,25.85,24.05,25.5,24.6
169,514,501,478,507,25.7,25.05,23.9,25.35
170,476,519,495,510,23.8,25.95,24.75,25.5
171,500,494,510,496,25.0,24.7,25.5,24.8
172,515,472,516,497,25.75,23.6,25.8,24.85
173,511,516,485,488,25.55,25.8,24.25,24.4
174,506,535,471,488,25.3,26.75,23.55,24.4
175,525,468,507,500,26.25,23.4,25.35,25.0
176,515,483,480,522,25.75,24.15,24.0,26.1
177,512,497,503,488,25.6,24.85,25.15,24.4
178,478,485,497,540,23.9,24.25,24.85,27.0
179,471,512,494,523,23.55,25.6,24.7,26.15
180,506,490,502,502,25.3,24.5,25.1,25.1
181,503,457,540,500,25.15,22.85,27.0,25.0
182,503,516,468,513,25.15,25.8,23.4,25.65
183,495,555,470,480,24.75,27.75,23.5,24.0
184,481,488,521,510,24.05,24.4,26.05,25.5
185,483,516,506,495,24.15,25.8,25.3,24.75
186,469,514,501,516,23.45,25.7,25.05,25.8
187,507,482,491,520,25.35,24.1,24.55,26.0
188,498,506,515,481,24.9,25.3,25.75,24.05
189,513,476,522,489,25.65,23.8,26.1,24.45
190,500,511,511,478,25.0,25.55,25.55,23.9
191,498,517,489,496,24.9,25.85,24.45,24.8
192,507,486,495,512,25.35,24.3,24.75,25.6
193,511,486,524,479,25.55,24.3,26.2,23.95
194,516,485,492,507,25.8,24.25,24.6,25.35
195,500,488,504,508,25.0,24.4,25.2,25.4
196,479,484,532,505,23.95,24.2,26.6,25.25
197,489,496,502,513,24.45,24.8,25.1,25.65
198,495,502,512,491,24.75,25.1,25.6,24.55
199,512,494,519,475,25.6,24.7,25.95,23.75
200,520,498,509,473,26.0,24.9,25.45,23.65
201,515,508,476,501,25.75,25.4,23.8,25.05
202,535,477,474,514,26.75,23.85,23.7,25.7
203,512,498,494,496,25.6,24.9,24.7,24.8
204,490,524,495,491,24.5,26.2,24.75,24.55
205,516,530,490,464,25.8,26.5,24.5,23.2
206,503,494,518,485,25.15,24.7,25.9,24.25
207,497,491,511,501,24.85,24.55,25.55,25.05
208,480,498,531,491,24.0,24.9,26.55,24.55
209,492,509,495,504,24.6,25.45,24.75,25.2
210,493,491,515,501,24.65,24.55,25.75,25.05
211,503,499,495,503,25.15,24.95,24.75,25.15
212,501,492,524,483,25.05,24.6,26.2,24.15
213,530,503,464,503,26.5,25.15,23.2,25.15
214,507,539,506,448,25.35,26.95,25.3,22.4
215,524,483,482,511,26.2,24.15,24.1,25.55
216,515,516,487,482,25.75,25.8,24.35,24.1
217,484,500,526,490,24.2,25.0,26.3,24.5
218,492,488,551,469,24.6,24.4,27.55,23.45
219,545,465,502,488,27.25,23.25,25.1,24.4
220,498,490,490,522,24.9,24.5,24.5,26.1
221,537,438,534,491,26.85,21.9,26.7,24.55
222,495,499,494,512,24.75,24.95,24.7,25.6
223,491,519,484,506,24.55,25.95,24.2,25.3
224,487,485,522,506,24.35,24.25,26.1,25.3
225,494,520,504,482,24.7,26.0,25.2,24.1
226,502,509,504,485,25.1,25.45,25.2,24.25
227,503,489,470,538,25.15,24.45,23.5,26.9
228,511,476,543,470,25.55,23.8,27.15,23.5
229,499,465,510,526,24.95,23.25,25.5,26.3
230,472,533,499,496,23.6,26.65,24.95,24.8
231,479,486,497,538,23.95,24.3,24.85,26.9
232,475,537,480,508,23.75,26.85,24.0,25.4
233,490,483,535,492,24.5,24.15,26.75,24.6
234,534,500,501,465,26.7,25.0,25.05,23.25
235,515,496,520,469,25.75,24.8,26.0,23.45
236,471,502,507,520,23.55,25.1,25.35,26.0
237,521,506,507,466,26.05,25.3,25.35,23.3
238,494,490,468,548,24.7,24.5,23.4,27.4
239,480,498,546,476,24.0,24.9,27.3,23.8
240,491,476,524,509,24.55,23.8,26.2,25.45
241,456,514,532,498,22.8,25.7,26.6,24.9
242,490,503,502,505,24.5,25.15,25.1,25.25
243,502,482,509,507,25.1,24.1,25.45,25.35
244,490,489,514,507,24.5,24.45,25.7,25.35
245,482,501,481,536,24.1,25.05,24.05,26.8
246,506,524,469,501,25.3,26.2,23.45,25.05
247,510,508,496,486,25.5,25.4,24.8,24.3
248,525,511,486,478,26.25,25.55,24.3,23.9
249,491,528,467,514,24.55,26.4,23.35,25.7
250,515,483,497,505,25.75,24.15,24.85,25.25
251,546,485,484,485,27.3,24.25,24.2,24.25
252,504,486,525,485,25.2,24.3,26.25,24.25
253,521,468,506,505,26.05,23.4,25.3,25.25
254,453,477,530,540,22.65,23.85,26.5,27.0
255,510,512,481,497,25.5,25.6,24.05,24.85
256,512,492,492,504,25.6,24.6,24.6,25.2
257,482,509,518,491,24.1,25.45,25.9,24.55
258,473,507,481,539,23.65,25.35,24.05,26.95
259,489,507,500,504,24.45,25.35,25.0,25.2
260,519,493,504,484,25.95,24.65,25.2,24.2
261,452,539,499,510,22.6,26.95,24.95,25.5
262,497,492,524,487,24.85,24.6,26.2,24.35
263,499,525,465,511,24.95,26.25,23.25,25.55
264,503,515,481,501,25.15,25.75,24.05,25.05
265,516,504,461,519,25.8,25.2,23.05,25.95
266,529,499,479,493,26.45,24.95,23.95,24.65
267,477,492,532,499,23.85,24.6,26.6,24.95
268,491,533,464,512,24.55,26.65,23.2,25.6
269,486,522,509,483,24.3,26.1,25.45,24.15
270,482,499,497,522,24.1,24.95,24.85,26.1
271,513,512,488,487,25.65,25.6,24.4,24.35
273,500,516,506,478,25.0,25.8,25.3,23.9
274,475,522,500,503,23.75,26.1,25.0,25.15
275,504,511,518,467,25.2,25.55,25.9,23.35
495,501,511,493,24.75,25.05,25.55,24.65
500,521,488,491,25.0,26.05,24.4,24.55
493,502,487,518,24.65,25.1,24.35,25.9
525,449,516,510,26.25,22.45,25.8,25.5
491,515,488,506,24.55,25.75,24.4,25.3
466,520,521,493,23.3,26.0,26.05,24.65
509,475,507,509,25.45,23.75,25.35,25.45
459,523,515,503,22.95,26.15,25.75,25.15
499,495,484,522,24.95,24.75,24.2,26.1
505,498,513,484,25.25,24.9,25.65,24.2
