Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17
33,492,513,475,472,503,507,525,460,493,492,520,500,492,527,532,463,502,532,5.47,5.7,5.28,5.24,5.59,5.63,5.83,5.11,5.48,5.47,5.78,5.56,5.47,5.86,5.91,5.14,5.58,5.91
34,507,502,501,493,509,488,467,453,472,486,520,510,476,532,536,547,489,512,5.63,5.58,5.57,5.48,5.66,5.42,5.19,5.03,5.24,5.4,5.78,5.67,5.29,5.91,5.96,6.08,5.43,5.69
35,521,503,498,500,483,510,474,515,460,493,503,515,490,491,527,501,495,521,5.79,5.59,5.53,5.56,5.37,5.67,5.27,5.72,5.11,5.48,5.59,5.72,5.44,5.46,5.86,5.57,5.5,5.79
36,498,498,523,504,476,479,516,503,483,537,507,479,517,443,486,532,529,490,5.53,5.53,5.81,5.6,5.29,5.32,5.73,5.59,5.37,5.97,5.63,5.32,5.74,4.92,5.4,5.91,5.88,5.44
37,519,466,477,520,529,484,502,502,496,507,505,477,482,498,544,480,516,496,5.77,5.18,5.3,5.78,5.88,5.38,5.58,5.58,5.51,5.63,5.61,5.3,5.36,5.53,6.04,5.33,5.73,5.51
38,523,526,470,503,530,495,493,519,509,517,501,478,474,482,484,505,493,498,5.81,5.84,5.22,5.59,5.89,5.5,5.48,5.77,5.66,5.74,5.57,5.31,5.27,5.36,5.38,5.61,5.48,5.53
39,480,481,497,485,502,489,495,496,482,490,543,493,521,538,499,508,520,481,5.33,5.34,5.52,5.39,5.58,5.43,5.5,5.51,5.36,5.44,6.03,5.48,5.79,5.98,5.54,5.64,5.78,5.34
40,524,464,524,484,498,509,540,471,467,479,496,486,517,535,503,486,532,485,5.82,5.16,5.82,5.38,5.53,5.66,6.0,5.23,5.19,5.32,5.51,5.4,5.74,5.94,5.59,5.4,5.91,5.39
41,501,508,524,482,518,485,488,503,449,465,517,504,513,529,497,531,477,509,5.57,5.64,5.82,5.36,5.76,5.39,5.42,5.59,4.99,5.17,5.74,5.6,5.7,5.88,5.52,5.9,5.3,5.66
42,529,504,498,512,479,508,491,523,474,456,561,493,470,506,479,507,502,508,5.88,5.6,5.53,5.69,5.32,5.64,5.46,5.81,5.27,5.07,6.23,5.48,5.22,5.62,5.32,5.63,5.58,5.64
43,531,509,520,493,491,467,483,487,485,501,522,520,489,503,518,515,479,487,5.9,5.66,5.78,5.48,5.46,5.19,5.37,5.41,5.39,5.57,5.8,5.78,5.43,5.59,5.76,5.72,5.32,5.41
44,488,456,501,510,471,507,524,510,481,507,505,512,452,500,502,531,530,513,5.42,5.07,5.57,5.67,5.23,5.63,5.82,5.67,5.34,5.63,5.61,5.69,5.02,5.56,5.58,5.9,5.89,5.7
45,526,506,528,489,504,518,493,469,519,503,478,521,480,485,506,506,452,517,5.84,5.62,5.87,5.43,5.6,5.76,5.48,5.21,5.77,5.59,5.31,5.79,5.33,5.39,5.62,5.62,5.02,5.74
46,501,499,523,499,515,514,528,480,462,477,498,468,511,480,525,501,516,503,5.57,5.54,5.81,5.54,5.72,5.71,5.87,5.33,5.13,5.3,5.53,5.2,5.68,5.33,5.83,5.57,5.73,5.59
47,506,522,469,503,471,475,485,481,491,516,528,525,501,534,494,512,491,496,5.62,5.8,5.21,5.59,5.23,5.28,5.39,5.34,5.46,5.73,5.87,5.83,5.57,5.93,5.49,5.69,5.46,5.51
48,484,471,451,508,508,522,490,525,490,532,464,523,499,540,499,504,471,519,5.38,5.23,5.01,5.64,5.64,5.8,5.44,5.83,5.44,5.91,5.16,5.81,5.54,6.0,5.54,5.6,5.23,5.77
49,523,495,494,501,516,461,535,478,509,505,514,532,489,496,499,495,505,453,5.81,5.5,5.49,5.57,5.73,5.12,5.94,5.31,5.66,5.61,5.71,5.91,5.43,5.51,5.54,5.5,5.61,5.03
50,465,507,512,502,486,506,515,501,525,515,493,493,473,492,502,512,484,517,5.17,5.63,5.69,5.58,5.4,5.62,5.72,5.57,5.83,5.72,5.48,5.48,5.26,5.47,5.58,5.69,5.38,5.74
51,505,515,487,501,422,491,486,557,485,478,507,483,521,498,499,525,502,538,5.61,5.72,5.41,5.57,4.69,5.46,5.4,6.19,5.39,5.31,5.63,5.37,5.79,5.53,5.54,5.83,5.58,5.98
52,505,500,511,483,480,492,503,491,498,470,503,529,486,521,483,513,532,500,5.61,5.56,5.68,5.37,5.33,5.47,5.59,5.46,5.53,5.22,5.59,5.88,5.4,5.79,5.37,5.7,5.91,5.56
53,496,496,433,483,546,518,512,507,478,515,484,533,484,488,494,519,508,506,5.51,5.51,4.81,5.37,6.07,5.76,5.69,5.63,5.31,5.72,5.38,5.92,5.38,5.42,5.49,5.77,5.64,5.62
54,505,506,515,480,502,478,492,488,523,473,493,508,514,520,478,456,529,540,5.61,5.62,5.72,5.33,5.58,5.31,5.47,5.42,5.81,5.26,5.48,5.64,5.71,5.78,5.31,5.07,5.88,6.0
55,555,468,503,516,528,539,499,503,485,504,491,496,467,446,533,507,493,467,6.17,5.2,5.59,5.73,5.87,5.99,5.54,5.59,5.39,5.6,5.46,5.51,5.19,4.96,5.92,5.63,5.48,5.19
56,504,475,475,499,492,483,499,521,493,514,522,511,493,513,480,503,519,504,5.6,5.28,5.28,5.54,5.47,5.37,5.54,5.79,5.48,5.71,5.8,5.68,5.48,5.7,5.33,5.59,5.77,5.6
57,490,515,538,475,518,512,474,497,525,493,511,503,471,463,528,482,496,509,5.44,5.72,5.98,5.28,5.76,5.69,5.27,5.52,5.83,5.48,5.68,5.59,5.23,5.14,5.87,5.36,5.51,5.66
58,547,505,496,503,490,533,477,462,495,499,539,518,486,497,494,498,449,512,6.08,5.61,5.51,5.59,5.44,5.92,5.3,5.13,5.5,5.54,5.99,5.76,5.4,5.52,5.49,5.53,4.99,5.69
59,520,516,496,492,486,480,494,472,483,478,522,512,473,506,512,545,510,503,5.78,5.73,5.51,5.47,5.4,5.33,5.49,5.24,5.37,5.31,5.8,5.69,5.26,5.62,5.69,6.06,5.67,5.59
60,493,495,478,489,498,482,497,517,529,494,457,533,498,563,501,500,496,480,5.48,5.5,5.31,5.43,5.53,5.36,5.52,5.74,5.88,5.49,5.08,5.92,5.53,6.26,5.57,5.56,5.51,5.33
61,499,482,486,504,458,494,523,535,513,489,520,503,477,477,509,497,512,522,5.54,5.36,5.4,5.6,5.09,5.49,5.81,5.94,5.7,5.43,5.78,5.59,5.3,5.3,5.66,5.52,5.69,5.8
62,514,487,519,511,505,494,477,480,528,496,495,499,465,472,557,490,514,497,5.71,5.41,5.77,5.68,5.61,5.49,5.3,5.33,5.87,5.51,5.5,5.54,5.17,5.24,6.19,5.44,5.71,5.52
63,489,479,512,518,529,472,469,506,511,524,474,488,520,535,497,462,526,489,5.43,5.32,5.69,5.76,5.88,5.24,5.21,5.62,5.68,5.82,5.27,5.42,5.78,5.94,5.52,5.13,5.84,5.43
64,539,467,503,483,526,487,495,517,513,513,493,517,483,496,484,496,528,460,5.99,5.19,5.59,5.37,5.84,5.41,5.5,5.74,5.7,5.7,5.48,5.74,5.37,5.51,5.38,5.51,5.87,5.11
65,528,516,544,500,501,493,495,523,540,467,510,458,469,500,480,471,498,507,5.87,5.73,6.04,5.56,5.57,5.48,5.5,5.81,6.0,5.19,5.67,5.09,5.21,5.56,5.33,5.23,5.53,5.63
67,492,486,522,489,526,526,502,490,490,488,444,529,534,467,506,484,510,515,5.47,5.4,5.8,5.43,5.84,5.84,5.58,5.44,5.44,5.42,4.93,5.88,5.93,5.19,5.62,5.38,5.67,5.72
68,545,532,471,477,517,499,506,476,479,514,511,471,544,524,469,485,509,471,6.06,5.91,5.23,5.3,5.74,5.54,5.62,5.29,5.32,5.71,5.68,5.23,6.04,5.82,5.21,5.39,5.66,5.23
69,505,487,509,495,501,504,512,499,509,485,476,504,551,518,480,465,483,517,5.61,5.41,5.66,5.5,5.57,5.6,5.69,5.54,5.66,5.39,5.29,5.6,6.12,5.76,5.33,5.17,5.37,5.74
