Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10
37,520,482,492,505,511,494,513,509,495,501,478,9.45,8.76,8.95,9.18,9.29,8.98,9.33,9.25,9.0,9.11,8.69
38,508,503,481,461,479,528,538,523,514,477,488,9.24,9.15,8.75,8.38,8.71,9.6,9.78,9.51,9.35,8.67,8.87
39,515,514,505,465,504,513,473,510,518,496,487,9.36,9.35,9.18,8.45,9.16,9.33,8.6,9.27,9.42,9.02,8.85
40,535,485,531,496,498,479,494,472,529,468,513,9.73,8.82,9.65,9.02,9.05,8.71,8.98,8.58,9.62,8.51,9.33
41,485,523,511,464,492,502,494,495,513,509,512,8.82,9.51,9.29,8.44,8.95,9.13,8.98,9.0,9.33,9.25,9.31
42,502,514,486,518,509,478,473,499,500,502,519,9.13,9.35,8.84,9.42,9.25,8.69,8.6,9.07,9.09,9.13,9.44
43,485,533,507,505,516,472,493,501,514,486,488,8.82,9.69,9.22,9.18,9.38,8.58,8.96,9.11,9.35,8.84,8.87
44,517,491,504,497,470,491,534,488,477,522,509,9.4,8.93,9.16,9.04,8.55,8.93,9.71,8.87,8.67,9.49,9.25
45,514,491,520,511,458,500,493,526,502,483,502,9.35,8.93,9.45,9.29,8.33,9.09,8.96,9.56,9.13,8.78,9.13
46,517,488,464,509,477,498,534,531,521,451,510,9.4,8.87,8.44,9.25,8.67,9.05,9.71,9.65,9.47,8.2,9.27
47,481,525,522,493,474,508,509,492,502,497,497,8.75,9.55,9.49,8.96,8.62,9.24,9.25,8.95,9.13,9.04,9.04
48,501,500,483,523,519,549,479,473,504,477,492,9.11,9.09,8.78,9.51,9.44,9.98,8.71,8.6,9.16,8.67,8.95
49,478,535,527,518,457,495,509,495,491,504,491,8.69,9.73,9.58,9.42,8.31,9.0,9.25,9.0,8.93,9.16,8.93
50,492,503,511,520,478,503,484,497,512,497,503,8.95,9.15,9.29,9.45,8.69,9.15,8.8,9.04,9.31,9.04,9.15
51,509,500,509,526,521,494,464,491,492,499,495,9.25,9.09,9.25,9.56,9.47,8.98,8.44,8.93,8.95,9.07,9.0
52,527,502,516,479,551,486,476,475,464,543,481,9.58,9.13,9.38,8.71,10.02,8.84,8.65,8.64,8.44,9.87,8.75
53,483,497,474,532,487,510,525,484,504,496,508,8.78,9.04,8.62,9.67,8.85,9.27,9.55,8.8,9.16,9.02,9.24
54,514,470,494,515,489,491,510,512,506,526,473,9.35,8.55,8.98,9.36,8.89,8.93,9.27,9.31,9.2,9.56,8.6
55,472,494,479,507,505,519,525,499,528,497,475,8.58,8.98,8.71,9.22,9.18,9.44,9.55,9.07,9.6,9.04,8.64
56,525,479,512,477,531,478,537,508,491,467,495,9.55,8.71,9.31,8.67,9.65,8.69,9.76,9.24,8.93,8.49,9.0
57,526,527,495,459,478,503,499,474,528,500,511,9.56,9.58,9.0,8.35,8.69,9.15,9.07,8.62,9.6,9.09,9.29
58,489,500,502,529,472,476,508,515,495,524,490,8.89,9.09,9.13,9.62,8.58,8.65,9.24,9.36,9.0,9.53,8.91
59,525,497,488,498,493,527,507,501,503,489,472,9.55,9.04,8.87,9.05,8.96,9.58,9.22,9.11,9.15,8.89,8.58
60,489,539,510,523,475,496,500,472,486,475,535,8.89,9.8,9.27,9.51,8.64,9.02,9.09,8.58,8.84,8.64,9.73
61,509,520,569,521,510,533,478,437,469,461,493,9.25,9.45,10.35,9.47,9.27,9.69,8.69,7.95,8.53,8.38,8.96
62,483,525,500,503,472,519,500,500,509,517,472,8.78,9.55,9.09,9.15,8.58,9.44,9.09,9.09,9.25,9.4,8.58
63,485,470,499,505,510,493,510,515,490,497,526,8.82,8.55,9.07,9.18,9.27,8.96,9.27,9.36,8.91,9.04,9.56
64,525,539,506,520,511,507,490,474,475,500,453,9.55,9.8,9.2,9.45,9.29,9.22,8.91,8.62,8.64,9.09,8.24
65,530,482,535,469,497,498,463,483,525,518,500,9.64,8.76,9.73,8.53,9.04,9.05,8.42,8.78,9.55,9.42,9.09
66,451,480,506,469,486,541,506,504,506,527,524,8.2,8.73,9.2,8.53,8.84,9.84,9.2,9.16,9.2,9.58,9.53
67,489,496,488,476,506,517,498,502,495,541,492,8.89,9.02,8.87,8.65,9.2,9.4,9.05,9.13,9.0,9.84,8.95
68,505,558,469,517,499,487,527,483,506,471,478,9.18,10.15,8.53,9.4,9.07,8.85,9.58,8.78,9.2,8.56,8.69
69,539,473,493,507,487,473,489,528,499,484,528,9.8,8.6,8.96,9.22,8.85,8.6,8.89,9.6,9.07,8.8,9.6
70,468,524,494,500,493,499,533,521,548,470,450,8.51,9.53,8.98,9.09,8.96,9.07,9.69,9.47,9.96,8.55,8.18
71,490,476,504,549,486,478,502,527,468,518,502,8.91,8.65,9.16,9.98,8.84,8.69,9.13,9.58,8.51,9.42,9.13
72,521,521,540,500,458,523,488,521,460,468,500,9.47,9.47,9.82,9.09,8.33,9.51,8.87,9.47,8.36,8.51,9.09
73,477,462,485,485,481,499,528,518,518,521,526,8.67,8.4,8.82,8.82,8.75,9.07,9.6,9.42,9.42,9.47,9.56
74,508,482,495,521,487,483,532,511,484,507,490,9.24,8.76,9.0,9.47,8.85,8.78,9.67,9.29,8.8,9.22,8.91
75,493,478,514,505,547,533,503,500,457,497,473,8.96,8.69,9.35,9.18,9.95,9.69,9.15,9.09,8.31,9.04,8.6
76,519,492,458,489,493,519,485,526,521,483,515,9.44,8.95,8.33,8.89,8.96,9.44,8.82,9.56,9.47,8.78,9.36
77,463,466,494,523,471,504,546,512,470,517,534,8.42,8.47,8.98,9.51,8.56,9.16,9.93,9.31,8.55,9.4,9.71
78,527,552,438,497,524,475,496,516,481,508,486,9.58,10.04,7.96,9.04,9.53,8.64,9.02,9.38,8.75,9.24,8.84
79,521,487,472,512,509,521,483,536,524,458,477,9.47,8.85,8.58,9.31,9.25,9.47,8.78,9.75,9.53,8.33,8.67
80,497,464,500,487,491,498,499,509,506,520,529,9.04,8.44,9.09,8.85,8.93,9.05,9.07,9.25,9.2,9.45,9.62
81,512,514,457,524,489,503,491,500,494,481,535,9.31,9.35,8.31,9.53,8.89,9.15,8.93,9.09,8.98,8.75,9.73
82,486,512,520,488,479,522,526,508,516,485,458,8.84,9.31,9.45,8.87,8.71,9.49,9.56,9.24,9.38,8.82,8.33
83,493,486,513,477,503,506,522,502,499,507,492,8.96,8.84,9.33,8.67,9.15,9.2,9.49,9.13,9.07,9.22,8.95
84,501,492,509,500,525,500,487,461,524,514,487,9.11,8.95,9.25,9.09,9.55,9.09,8.85,8.38,9.53,9.35,8.85
85,544,508,474,540,481,508,501,475,497,459,513,9.89,9.24,8.62,9.82,8.75,9.24,9.11,8.64,9.04,8.35,9.33
86,498,502,551,487,493,502,478,489,480,512,508,9.05,9.13,10.02,8.85,8.96,9.13,8.69,8.89,8.73,9.31,9.24
87,503,445,533,511,493,484,495,522,502,503,509,9.15,8.09,9.69,9.29,8.96,8.8,9.0,9.49,9.13,9.15,9.25
88,491,442,521,507,482,497,495,524,515,532,494,8.93,8.04,9.47,9.22,8.76,9.04,9.0,9.53,9.36,9.67,8.98
89,490,499,498,504,473,490,536,510,487,516,497,8.91,9.07,9.05,9.16,8.6,8.91,9.75,9.27,8.85,9.38,9.04
90,516,509,513,529,508,501,486,497,463,504,474,9.38,9.25,9.33,9.62,9.24,9.11,8.84,9.04,8.42,9.16,8.62
91,528,511,434,507,488,489,507,528,520,506,482,9.6,9.29,7.89,9.22,8.87,8.89,9.22,9.6,9.45,9.2,8.76
92,494,471,480,520,502,517,521,507,509,516,463,8.98,8.56,8.73,9.45,9.13,9.4,9.47,9.22,9.25,9.38,8.42
93,517,534,483,482,508,486,481,541,504,480,484,9.4,9.71,8.78,8.76,9.24,8.84,8.75,9.84,9.16,8.73,8.8
94,501,480,467,524,519,509,515,529,472,483,501,9.11,8.73,8.49,9.53,9.44,9.25,9.36,9.62,8.58,8.78,9.11
95,518,538,500,494,454,510,514,501,473,505,493,9.42,9.78,9.09,8.98,8.25,9.27,9.35,9.11,8.6,9.18,8.96
96,523,480,534,488,525,466,471,515,505,508,485,9.51,8.73,9.71,8.87,9.55,8.47,8.56,9.36,9.18,9.24,8.82
97,494,494,463,497,504,524,489,501,502,496,536,8.98,8.98,8.42,9.04,9.16,9.53,8.89,9.11,9.13,9.02,9.75
98,521,512,517,494,530,500,475,471,516,464,500,9.47,9.31,9.4,8.98,9.64,9.09,8.64,8.56,9.38,8.44,9.09
99,482,526,505,499,459,528,486,494,490,524,507,8.76,9.56,9.18,9.07,8.35,9.6,8.84,8.98,8.91,9.53,9.22
101,502,494,519,507,538,460,500,470,489,518,503,9.13,8.98,9.44,9.22,9.78,8.36,9.09,8.55,8.89,9.42,9.15
102,523,509,513,532,441,476,511,535,442,497,521,9.51,9.25,9.33,9.67,8.02,8.65,9.29,9.73,8.04,9.04,9.47
103,477,524,448,490,496,517,490,507,498,539,514,8.67,9.53,8.15,8.91,9.02,9.4,8.91,9.22,9.05,9.8,9.35
