Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Times 18,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17,Percent 18
11,535,477,498,521,502,481,500,483,499,518,525,467,528,506,489,473,496,489,513,5.63,5.02,5.24,5.48,5.28,5.06,5.26,5.08,5.25,5.45,5.53,4.92,5.56,5.33,5.15,4.98,5.22,5.15,5.4
12,505,490,510,504,498,491,502,488,490,510,503,515,497,506,477,491,486,530,507,5.32,5.16,5.37,5.31,5.24,5.17,5.28,5.14,5.16,5.37,5.29,5.42,5.23,5.33,5.02,5.17,5.12,5.58,5.34
13,493,520,478,506,493,489,511,495,498,501,491,502,482,485,486,489,523,564,494,5.19,5.47,5.03,5.33,5.19,5.15,5.38,5.21,5.24,5.27,5.17,5.28,5.07,5.11,5.12,5.15,5.51,5.94,5.2
14,489,497,534,478,488,513,528,473,479,484,502,543,488,503,516,482,498,526,479,5.15,5.23,5.62,5.03,5.14,5.4,5.56,4.98,5.04,5.09,5.28,5.72,5.14,5.29,5.43,5.07,5.24,5.54,5.04
15,507,481,517,517,468,544,481,515,528,491,488,484,526,513,468,488,485,508,491,5.34,5.06,5.44,5.44,4.93,5.73,5.06,5.42,5.56,5.17,5.14,5.09,5.54,5.4,4.93,5.14,5.11,5.35,5.17
16,501,538,473,504,500,492,529,504,492,497,520,507,488,503,476,507,466,532,471,5.27,5.66,4.98,5.31,5.26,5.18,5.57,5.31,5.18,5.23,5.47,5.34,5.14,5.29,5.01,5.34,4.91,5.6,4.96
17,507,493,492,482,509,479,492,518,499,460,532,522,489,505,512,496,494,509,510,5.34,5.19,5.18,5.07,5.36,5.04,5.18,5.45,5.25,4.84,5.6,5.49,5.15,5.32,5.39,5.22,5.2,5.36,5.37
18,513,528,503,513,538,527,526,515,487,454,461,475,514,506,480,489,484,465,522,5.4,5.56,5.29,5.4,5.66,5.55,5.54,5.42,5.13,4.78,4.85,5.0,5.41,5.33,5.05,5.15,5.09,4.89,5.49
19,474,479,571,473,511,509,545,477,511,457,522,518,496,516,486,478,514,457,506,4.99,5.04,6.01,4.98,5.38,5.36,5.74,5.02,5.38,4.81,5.49,5.45,5.22,5.43,5.12,5.03,5.41,4.81,5.33
20,480,500,511,469,506,498,508,497,488,508,509,516,496,486,489,541,487,468,543,5.05,5.26,5.38,4.94,5.33,5.24,5.35,5.23,5.14,5.35,5.36,5.43,5.22,5.12,5.15,5.69,5.13,4.93,5.72
21,495,478,483,572,434,507,531,520,464,528,516,500,485,511,478,506,494,512,486,5.21,5.03,5.08,6.02,4.57,5.34,5.59,5.47,4.88,5.56,5.43,5.26,5.11,5.38,5.03,5.33,5.2,5.39,5.12
22,472,472,529,462,502,540,520,479,507,482,502,506,521,509,535,513,510,465,474,4.97,4.97,5.57,4.86,5.28,5.68,5.47,5.04,5.34,5.07,5.28,5.33,5.48,5.36,5.63,5.4,5.37,4.89,4.99
23,419,504,529,513,514,522,514,511,476,517,538,489,504,482,482,520,481,544,441,4.41,5.31,5.57,5.4,5.41,5.49,5.41,5.38,5.01,5.44,5.66,5.15,5.31,5.07,5.07,5.47,5.06,5.73,4.64
24,501,490,492,496,503,509,493,473,494,536,492,555,487,510,501,535,507,446,480,5.27,5.16,5.18,5.22,5.29,5.36,5.19,4.98,5.2,5.64,5.18,5.84,5.13,5.37,5.27,5.63,5.34,4.69,5.05
25,464,543,511,485,502,471,528,501,522,443,478,519,473,530,492,509,528,516,485,4.88,5.72,5.38,5.11,5.28,4.96,5.56,5.27,5.49,4.66,5.03,5.46,4.98,5.58,5.18,5.36,5.56,5.43,5.11
26,524,509,510,481,506,484,492,484,500,523,513,508,517,441,503,492,489,496,528,5.52,5.36,5.37,5.06,5.33,5.09,5.18,5.09,5.26,5.51,5.4,5.35,5.44,4.64,5.29,5.18,5.15,5.22,5.56
27,497,498,482,481,451,488,495,472,518,552,476,507,541,461,514,535,500,528,504,5.23,5.24,5.07,5.06,4.75,5.14,5.21,4.97,5.45,5.81,5.01,5.34,5.69,4.85,5.41,5.63,5.26,5.56,5.31
28,467,487,523,561,516,483,512,512,534,508,490,456,522,496,459,515,483,481,495,4.92,5.13,5.51,5.91,5.43,5.08,5.39,5.39,5.62,5.35,5.16,4.8,5.49,5.22,4.83,5.42,5.08,5.06,5.21
29,478,490,516,513,516,506,510,546,474,546,552,490,511,467,480,478,465,510,452,5.03,5.16,5.43,5.4,5.43,5.33,5.37,5.75,4.99,5.75,5.81,5.16,5.38,4.92,5.05,5.03,4.89,5.37,4.76
30,474,527,474,486,551,469,475,501,503,483,510,491,509,530,493,505,512,476,531,4.99,5.55,4.99,5.12,5.8,4.94,5.0,5.27,5.29,5.08,5.37,5.17,5.36,5.58,5.19,5.32,5.39,5.01,5.59
31,508,487,503,512,465,494,523,499,505,500,508,494,501,514,528,478,497,498,486,5.35,5.13,5.29,5.39,4.89,5.2,5.51,5.25,5.32,5.26,5.35,5.2,5.27,5.41,5.56,5.03,5.23,5.24,5.12
32,453,508,530,435,491,512,494,529,509,522,520,524,496,492,499,515,500,471,500,4.77,5.35,5.58,4.58,5.17,5.39,5.2,5.57,5.36,5.49,5.47,5.52,5.22,5.18,5.25,5.42,5.26,4.96,5.26
33,485,493,523,512,479,475,510,492,495,481,504,499,487,516,481,548,508,494,518,5.11,5.19,5.51,5.39,5.04,5.0,5.37,5.18,5.21,5.06,5.31,5.25,5.13,5.43,5.06,5.77,5.35,5.2,5.45
34,541,450,466,507,470,508,525,497,473,494,516,538,517,472,516,489,482,500,539,5.69,4.74,4.91,5.34,4.95,5.35,5.53,5.23,4.98,5.2,5.43,5.66,5.44,4.97,5.43,5.15,5.07,5.26,5.67
35,487,478,490,522,517,516,495,538,544,477,490,507,473,487,506,474,507,495,497,5.13,5.03,5.16,5.49,5.44,5.43,5.21,5.66,5.73,5.02,5.16,5.34,4.98,5.13,5.33,4.99,5.34,5.21,5.23
36,478,525,469,505,484,510,501,507,479,511,517,506,472,520,499,477,511,486,543,5.03,5.53,4.94,5.32,5.09,5.37,5.27,5.34,5.04,5.38,5.44,5.33,4.97,5.47,5.25,5.02,5.38,5.12,5.72
37,452,512,521,520,487,523,486,517,536,487,492,483,502,420,503,502,527,506,524,4.76,5.39,5.48,5.47,5.13,5.51,5.12,5.44,5.64,5.13,5.18,5.08,5.28,4.42,5.29,5.28,5.55,5.33,5.52
38,521,493,461,488,500,513,526,482,522,454,493,496,497,486,510,521,482,567,488,5.48,5.19,4.85,5.14,5.26,5.4,5.54,5.07,5.49,4.78,5.19,5.22,5.23,5.12,5.37,5.48,5.07,5.97,5.14
39,479,515,497,499,484,484,467,508,501,533,497,494,493,490,459,511,502,536,551,5.04,5.42,5.23,5.25,5.09,5.09,4.92,5.35,5.27,5.61,5.23,5.2,5.19,5.16,4.83,5.38,5.28,5.64,5.8
40,516,481,504,488,519,519,506,474,457,509,524,525,477,499,499,517,473,554,459,5.43,5.06,5.31,5.14,5.46,5.46,5.33,4.99,4.81,5.36,5.52,5.53,5.02,5.25,5.25,5.44,4.98,5.83,4.83
41,489,507,497,513,519,508,526,524,522,480,452,472,496,510,520,491,449,533,492,5.15,5.34,5.23,5.4,5.46,5.35,5.54,5.52,5.49,5.05,4.76,4.97,5.22,5.37,5.47,5.17,4.73,5.61,5.18
42,511,489,511,505,492,459,534,495,465,500,532,460,472,479,503,520,533,527,513,5.38,5.15,5.38,5.32,5.18,4.83,5.62,5.21,4.89,5.26,5.6,4.84,4.97,5.04,5.29,5.47,5.61,5.55,5.4
43,474,508,492,493,467,521,527,522,543,479,481,505,501,511,505,479,506,483,503,4.99,5.35,5.18,5.19,4.92,5.48,5.55,5.49,5.72,5.04,5.06,5.32,5.27,5.38,5.32,5.04,5.33,5.08,5.29
44,509,482,499,538,483,491,469,523,535,503,507,519,492,488,477,507,521,478,479,5.36,5.07,5.25,5.66,5.08,5.17,4.94,5.51,5.63,5.29,5.34,5.46,5.18,5.14,5.02,5.34,5.48,5.03,5.04
45,428,508,515,487,505,543,520,493,482,512,501,484,462,511,509,496,499,524,521,4.51,5.35,5.42,5.13,5.32,5.72,5.47,5.19,5.07,5.39,5.27,5.09,4.86,5.38,5.36,5.22,5.25,5.52,5.48
46,488,447,501,502,478,517,536,507,474,508,520,542,468,517,508,493,481,508,505,5.14,4.71,5.27,5.28,5.03,5.44,5.64,5.34,4.99,5.35,5.47,5.71,4.93,5.44,5.35,5.19,5.06,5.35,5.32
47,468,508,515,482,497,537,471,499,508,517,499,488,472,518,472,471,545,525,508,4.93,5.35,5.42,5.07,5.23,5.65,4.96,5.25,5.35,5.44,5.25,5.14,4.97,5.45,4.97,4.96,5.74,5.53,5.35
48,536,501,477,503,506,465,494,513,517,513,501,513,499,457,510,507,528,470,490,5.64,5.27,5.02,5.29,5.33,4.89,5.2,5.4,5.44,5.4,5.27,5.4,5.25,4.81,5.37,5.34,5.56,4.95,5.16
49,471,532,490,491,527,477,489,468,525,492,495,497,495,487,513,510,530,512,499,4.96,5.6,5.16,5.17,5.55,5.02,5.15,4.93,5.53,5.18,5.21,5.23,5.21,5.13,5.4,5.37,5.58,5.39,5.25
50,511,490,499,503,535,507,514,489,500,492,507,491,491,531,453,489,519,492,487,5.38,5.16,5.25,5.29,5.63,5.34,5.41,5.15,5.26,5.18,5.34,5.17,5.17,5.59,4.77,5.15,5.46,5.18,5.13
51,497,508,468,488,515,496,495,471,482,489,463,507,526,525,537,492,526,497,518,5.23,5.35,4.93,5.14,5.42,5.22,5.21,4.96,5.07,5.15,4.87,5.34,5.54,5.53,5.65,5.18,5.54,5.23,5.45
52,506,490,514,501,488,505,531,479,468,533,501,480,553,473,483,518,522,494,461,5.33,5.16,5.41,5.27,5.14,5.32,5.59,5.04,4.93,5.61,5.27,5.05,5.82,4.98,5.08,5.45,5.49,5.2,4.85
53,508,547,494,523,489,515,488,560,479,513,463,495,478,500,470,469,521,483,505,5.35,5.76,5.2,5.51,5.15,5.42,5.14,5.89,5.04,5.4,4.87,5.21,5.03,5.26,4.95,4.94,5.48,5.08,5.32
54,499,485,530,486,474,556,509,494,472,475,450,498,502,516,525,528,509,490,502,5.25,5.11,5.58,5.12,4.99,5.85,5.36,5.2,4.97,5.0,4.74,5.24,5.28,5.43,5.53,5.56,5.36,5.16,5.28
55,492,539,504,489,527,499,519,484,498,485,469,508,490,534,488,490,510,477,498,5.18,5.67,5.31,5.15,5.55,5.25,5.46,5.09,5.24,5.11,4.94,5.35,5.16,5.62,5.14,5.16,5.37,5.02,5.24
56,517,520,502,543,494,487,512,474,501,472,443,537,497,508,454,522,505,490,522,5.44,5.47,5.28,5.72,5.2,5.13,5.39,4.99,5.27,4.97,4.66,5.65,5.23,5.35,4.78,5.49,5.32,5.16,5.49
57,472,499,503,514,529,526,460,539,474,487,526,487,506,515,515,486,471,502,489,4.97,5.25,5.29,5.41,5.57,5.54,4.84,5.67,4.99,5.13,5.54,5.13,5.33,5.42,5.42,5.12,4.96,5.28,5.15
58,473,494,481,478,508,538,495,508,451,487,495,502,528,524,467,511,524,514,522,4.98,5.2,5.06,5.03,5.35,5.66,5.21,5.35,4.75,5.13,5.21,5.28,5.56,5.52,4.92,5.38,5.52,5.41,5.49
59,470,506,467,497,483,511,494,498,511,540,480,512,524,491,476,509,534,500,497,4.95,5.33,4.92,5.23,5.08,5.38,5.2,5.24,5.38,5.68,5.05,5.39,5.52,5.17,5.01,5.36,5.62,5.26,5.23
60,477,561,474,492,532,527,496,485,501,503,475,482,496,489,474,512,479,492,553,5.02,5.91,4.99,5.18,5.6,5.55,5.22,5.11,5.27,5.29,5.0,5.07,5.22,5.15,4.99,5.39,5.04,5.18,5.82
61,470,497,507,525,499,489,526,518,511,475,474,533,514,504,468,510,511,500,469,4.95,5.23,5.34,5.53,5.25,5.15,5.54,5.45,5.38,5.0,4.99,5.61,5.41,5.31,4.93,5.37,5.38,5.26,4.94
62,527,496,479,486,502,458,477,497,528,484,488,475,534,499,502,543,525,523,477,5.55,5.22,5.04,5.12,5.28,4.82,5.02,5.23,5.56,5.09,5.14,5.0,5.62,5.25,5.28,5.72,5.53,5.51,5.02
63,502,531,490,464,488,519,484,521,510,469,501,496,535,510,489,470,503,484,534,5.28,5.59,5.16,4.88,5.14,5.46,5.09,5.48,5.37,4.94,5.27,5.22,5.63,5.37,5.15,4.95,5.29,5.09,5.62
64,473,513,498,512,495,489,498,522,489,523,515,497,471,471,531,499,491,509,504,4.98,5.4,5.24,5.39,5.21,5.15,5.24,5.49,5.15,5.51,5.42,5.23,4.96,4.96,5.59,5.25,5.17,5.36,5.31
65,498,517,486,491,495,511,491,513,503,482,534,457,504,497,455,535,533,505,493,5.24,5.44,5.12,5.17,5.21,5.38,5.17,5.4,5.29,5.07,5.62,4.81,5.31,5.23,4.79,5.63,5.61,5.32,5.19
66,489,502,503,512,478,483,488,519,501,502,480,507,491,531,489,494,492,544,495,5.15,5.28,5.29,5.39,5.03,5.08,5.14,5.46,5.27,5.28,5.05,5.34,5.17,5.59,5.15,5.2,5.18,5.73,5.21
67,492,526,462,510,530,463,485,518,490,525,492,495,504,490,511,523,486,513,485,5.18,5.54,4.86,5.37,5.58,4.87,5.11,5.45,5.16,5.53,5.18,5.21,5.31,5.16,5.38,5.51,5.12,5.4,5.11
68,495,443,510,482,525,490,494,515,518,523,512,518,530,499,497,455,481,506,507,5.21,4.66,5.37,5.07,5.53,5.16,5.2,5.42,5.45,5.51,5.39,5.45,5.58,5.25,5.23,4.79,5.06,5.33,5.34
69,549,497,478,496,513,483,511,487,458,537,505,501,511,479,508,514,523,478,472,5.78,5.23,5.03,5.22,5.4,5.08,5.38,5.13,4.82,5.65,5.32,5.27,5.38,5.04,5.35,5.41,5.51,5.03,4.97
70,499,514,449,510,539,493,470,532,494,478,521,518,488,508,555,490,466,469,507,5.25,5.41,4.73,5.37,5.67,5.19,4.95,5.6,5.2,5.03,5.48,5.45,5.14,5.35,5.84,5.16,4.91,4.94,5.34
71,517,522,489,469,521,508,490,486,491,490,519,529,480,493,507,514,490,487,498,5.44,5.49,5.15,4.94,5.48,5.35,5.16,5.12,5.17,5.16,5.46,5.57,5.05,5.19,5.34,5.41,5.16,5.13,5.24
72,486,496,473,471,512,531,526,505,516,539,475,500,467,481,511,483,494,511,523,5.12,5.22,4.98,4.96,5.39,5.59,5.54,5.32,5.43,5.67,5.0,5.26,4.92,5.06,5.38,5.08,5.2,5.38,5.51
73,502,482,533,553,461,480,499,454,505,464,511,510,524,526,522,518,475,477,504,5.28,5.07,5.61,5.82,4.85,5.05,5.25,4.78,5.32,4.88,5.38,5.37,5.52,5.54,5.49,5.45,5.0,5.02,5.31
74,514,514,457,485,521,469,490,494,544,504,502,523,500,493,505,498,483,467,537,5.41,5.41,4.81,5.11,5.48,4.94,5.16,5.2,5.73,5.31,5.28,5.51,5.26,5.19,5.32,5.24,5.08,4.92,5.65
75,476,551,483,523,485,449,504,489,492,508,497,485,504,518,495,497,504,498,542,5.01,5.8,5.08,5.51,5.11,4.73,5.31,5.15,5.18,5.35,5.23,5.11,5.31,5.45,5.21,5.23,5.31,5.24,5.71
76,460,514,486,522,491,480,468,519,548,523,559,464,478,535,467,496,515,482,493,4.84,5.41,5.12,5.49,5.17,5.05,4.93,5.46,5.77,5.51,5.88,4.88,5.03,5.63,4.92,5.22,5.42,5.07,5.19
77,519,508,518,498,483,491,509,520,487,456,521,499,479,493,528,513,527,477,474,5.46,5.35,5.45,5.24,5.08,5.17,5.36,5.47,5.13,4.8,5.48,5.25,5.04,5.19,5.56,5.4,5.55,5.02,4.99
78,542,499,513,507,489,510,507,521,513,502,488,476,504,480,495,474,489,477,514,5.71,5.25,5.4,5.34,5.15,5.37,5.34,5.48,5.4,5.28,5.14,5.01,5.31,5.05,5.21,4.99,5.15,5.02,5.41
79,439,520,495,492,502,506,479,517,490,503,495,501,495,539,504,496,495,485,547,4.62,5.47,5.21,5.18,5.28,5.33,5.04,5.44,5.16,5.29,5.21,5.27,5.21,5.67,5.31,5.22,5.21,5.11,5.76
80,494,498,492,495,507,506,509,531,523,541,481,463,489,509,478,516,491,476,501,5.2,5.24,5.18,5.21,5.34,5.33,5.36,5.59,5.51,5.69,5.06,4.87,5.15,5.36,5.03,5.43,5.17,5.01,5.27
81,491,483,533,521,524,502,487,514,512,535,466,465,456,498,500,498,525,497,493,5.17,5.08,5.61,5.48,5.52,5.28,5.13,5.41,5.39,5.63,4.91,4.89,4.8,5.24,5.26,5.24,5.53,5.23,5.19
82,498,496,480,510,488,489,497,494,528,500,507,493,488,516,499,502,517,488,510,5.24,5.22,5.05,5.37,5.14,5.15,5.23,5.2,5.56,5.26,5.34,5.19,5.14,5.43,5.25,5.28,5.44,5.14,5.37
84,469,503,506,491,508,534,518,511,495,468,497,504,507,520,546,467,497,478,481,4.94,5.29,5.33,5.17,5.35,5.62,5.45,5.38,5.21,4.93,5.23,5.31,5.34,5.47,5.75,4.92,5.23,5.03,5.06
85,483,531,475,488,500,496,532,484,474,533,508,517,514,517,482,507,471,489,499,5.08,5.59,5.0,5.14,5.26,5.22,5.6,5.09,4.99,5.61,5.35,5.44,5.41,5.44,5.07,5.34,4.96,5.15,5.25
86,500,486,479,524,520,517,494,486,531,493,514,510,503,486,492,496,491,507,471,5.26,5.12,5.04,5.52,5.47,5.44,5.2,5.12,5.59,5.19,5.41,5.37,5.29,5.12,5.18,5.22,5.17,5.34,4.96
