Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12
21,451,517,506,486,495,511,486,515,494,488,514,490,547,6.94,7.95,7.78,7.48,7.62,7.86,7.48,7.92,7.6,7.51,7.91,7.54,8.42
22,469,481,495,534,517,513,439,490,524,474,528,491,545,7.22,7.4,7.62,8.22,7.95,7.89,6.75,7.54,8.06,7.29,8.12,7.55,8.38
23,463,513,493,517,513,463,509,529,454,531,522,493,500,7.12,7.89,7.58,7.95,7.89,7.12,7.83,8.14,6.98,8.17,8.03,7.58,7.69
24,479,491,515,474,485,557,531,512,499,485,486,478,508,7.37,7.55,7.92,7.29,7.46,8.57,8.17,7.88,7.68,7.46,7.48,7.35,7.82
25,496,439,500,528,536,501,488,516,490,488,506,490,522,7.63,6.75,7.69,8.12,8.25,7.71,7.51,7.94,7.54,7.51,7.78,7.54,8.03
26,520,510,486,503,455,479,511,468,497,499,558,527,487,8.0,7.85,7.48,7.74,7.0,7.37,7.86,7.2,7.65,7.68,8.58,8.11,7.49
27,535,520,463,525,492,498,504,498,481,497,477,499,511,8.23,8.0,7.12,8.08,7.57,7.66,7.75,7.66,7.4,7.65,7.34,7.68,7.86
28,470,451,543,516,450,503,512,519,479,515,524,536,482,7.23,6.94,8.35,7.94,6.92,7.74,7.88,7.98,7.37,7.92,8.06,8.25,7.42
29,495,491,503,521,461,516,505,503,469,555,484,497,500,7.62,7.55,7.74,8.02,7.09,7.94,7.77,7.74,7.22,8.54,7.45,7.65,7.69
30,496,516,498,500,492,450,507,492,507,509,497,524,512,7.63,7.94,7.66,7.69,7.57,6.92,7.8,7.57,7.8,7.83,7.65,8.06,7.88
31,455,496,496,500,485,492,516,533,489,484,516,531,507,7.0,7.63,7.63,7.69,7.46,7.57,7.94,8.2,7.52,7.45,7.94,8.17,7.8
32,472,505,517,490,514,485,526,529,500,481,493,484,504,7.26,7.77,7.95,7.54,7.91,7.46,8.09,8.14,7.69,7.4,7.58,7.45,7.75
33,516,495,478,435,517,515,498,515,519,564,491,481,476,7.94,7.62,7.35,6.69,7.95,7.92,7.66,7.92,7.98,8.68,7.55,7.4,7.32
34,499,522,492,527,522,507,513,468,477,474,532,488,479,7.68,8.03,7.57,8.11,8.03,7.8,7.89,7.2,7.34,7.29,8.18,7.51,7.37
35,492,506,490,457,491,528,502,526,500,494,486,501,527,7.57,7.78,7.54,7.03,7.55,8.12,7.72,8.09,7.69,7.6,7.48,7.71,8.11
36,515,474,519,524,532,486,475,558,479,483,470,484,501,7.92,7.29,7.98,8.06,8.18,7.48,7.31,8.58,7.37,7.43,7.23,7.45,7.71
37,556,524,507,498,457,512,536,478,499,473,521,468,471,8.55,8.06,7.8,7.66,7.03,7.88,8.25,7.35,7.68,7.28,8.02,7.2,7.25
38,497,503,500,488,480,484,533,490,475,512,471,518,549,7.65,7.74,7.69,7.51,7.38,7.45,8.2,7.54,7.31,7.88,7.25,7.97,8.45
39,489,493,510,468,563,518,513,489,483,507,479,510,478,7.52,7.58,7.85,7.2,8.66,7.97,7.89,7.52,7.43,7.8,7.37,7.85,7.35
40,523,496,489,462,478,524,479,516,510,529,512,516,466,8.05,7.63,7.52,7.11,7.35,8.06,7.37,7.94,7.85,8.14,7.88,7.94,7.17
41,503,486,507,505,478,509,502,519,521,475,475,516,504,7.74,7.48,7.8,7.77,7.35,7.83,7.72,7.98,8.02,7.31,7.31,7.94,7.75
42,481,487,510,501,522,503,513,477,533,539,484,474,476,7.4,7.49,7.85,7.71,8.03,7.74,7.89,7.34,8.2,8.29,7.45,7.29,7.32
43,482,516,488,511,535,515,495,492,460,523,513,499,471,7.42,7.94,7.51,7.86,8.23,7.92,7.62,7.57,7.08,8.05,7.89,7.68,7.25
44,489,497,493,504,505,522,499,514,491,499,487,521,479,7.52,7.65,7.58,7.75,7.77,8.03,7.68,7.91,7.55,7.68,7.49,8.02,7.37
45,498,491,512,493,529,491,500,540,511,487,460,485,503,7.66,7.55,7.88,7.58,8.14,7.55,7.69,8.31,7.86,7.49,7.08,7.46,7.74
46,488,514,477,495,499,529,461,470,520,514,530,513,490,7.51,7.91,7.34,7.62,7.68,8.14,7.09,7.23,8.0,7.91,8.15,7.89,7.54
47,484,499,464,550,491,525,508,479,527,485,499,486,503,7.45,7.68,7.14,8.46,7.55,8.08,7.82,7.37,8.11,7.46,7.68,7.48,7.74
48,490,490,479,523,500,496,508,494,564,496,463,501,496,7.54,7.54,7.37,8.05,7.69,7.63,7.82,7.6,8.68,7.63,7.12,7.71,7.63
49,498,492,486,529,510,446,549,493,498,480,500,525,494,7.66,7.57,7.48,8.14,7.85,6.86,8.45,7.58,7.66,7.38,7.69,8.08,7.6
50,518,476,516,523,480,481,474,492,523,498,519,480,520,7.97,7.32,7.94,8.05,7.38,7.4,7.29,7.57,8.05,7.66,7.98,7.38,8.0
51,457,487,522,458,508,530,496,506,487,498,504,526,521,7.03,7.49,8.03,7.05,7.82,8.15,7.63,7.78,7.49,7.66,7.75,8.09,8.02
52,502,506,520,503,490,539,462,486,490,486,478,494,544,7.72,7.78,8.0,7.74,7.54,8.29,7.11,7.48,7.54,7.48,7.35,7.6,8.37
53,459,514,478,486,473,516,502,477,536,523,494,531,511,7.06,7.91,7.35,7.48,7.28,7.94,7.72,7.34,8.25,8.05,7.6,8.17,7.86
54,492,491,511,555,476,494,481,505,486,506,505,484,514,7.57,7.55,7.86,8.54,7.32,7.6,7.4,7.77,7.48,7.78,7.77,7.45,7.91
55,480,501,494,487,500,510,533,473,498,508,512,495,509,7.38,7.71,7.6,7.49,7.69,7.85,8.2,7.28,7.66,7.82,7.88,7.62,7.83
56,473,506,484,520,466,487,505,494,528,506,551,518,462,7.28,7.78,7.45,8.0,7.17,7.49,7.77,7.6,8.12,7.78,8.48,7.97,7.11
57,464,514,499,525,506,500,482,468,499,537,512,482,512,7.14,7.91,7.68,8.08,7.78,7.69,7.42,7.2,7.68,8.26,7.88,7.42,7.88
58,509,502,510,517,467,458,511,470,487,531,526,521,491,7.83,7.72,7.85,7.95,7.18,7.05,7.86,7.23,7.49,8.17,8.09,8.02,7.55
59,546,510,500,489,449,510,497,467,489,500,490,527,526,8.4,7.85,7.69,7.52,6.91,7.85,7.65,7.18,7.52,7.69,7.54,8.11,8.09
60,504,494,514,501,488,492,498,508,498,505,501,516,481,7.75,7.6,7.91,7.71,7.51,7.57,7.66,7.82,7.66,7.77,7.71,7.94,7.4
61,529,493,476,501,493,505,484,468,513,568,500,482,488,8.14,7.58,7.32,7.71,7.58,7.77,7.45,7.2,7.89,8.74,7.69,7.42,7.51
62,510,502,487,504,469,486,531,510,493,485,500,525,498,7.85,7.72,7.49,7.75,7.22,7.48,8.17,7.85,7.58,7.46,7.69,8.08,7.66
63,480,471,454,488,521,511,528,515,490,522,456,501,563,7.38,7.25,6.98,7.51,8.02,7.86,8.12,7.92,7.54,8.03,7.02,7.71,8.66
64,509,461,486,482,478,511,500,504,510,505,527,507,520,7.83,7.09,7.48,7.42,7.35,7.86,7.69,7.75,7.85,7.77,8.11,7.8,8.0
65,482,509,532,526,476,492,500,483,495,492,508,503,502,7.42,7.83,8.18,8.09,7.32,7.57,7.69,7.43,7.62,7.57,7.82,7.74,7.72
66,521,503,484,464,512,507,523,483,524,473,456,532,518,8.02,7.74,7.45,7.14,7.88,7.8,8.05,7.43,8.06,7.28,7.02,8.18,7.97
67,488,489,473,500,494,512,532,510,523,493,493,504,489,7.51,7.52,7.28,7.69,7.6,7.88,8.18,7.85,8.05,7.58,7.58,7.75,7.52
68,513,504,480,490,474,530,478,507,508,508,547,489,472,7.89,7.75,7.38,7.54,7.29,8.15,7.35,7.8,7.82,7.82,8.42,7.52,7.26
69,476,494,493,472,507,506,515,527,511,511,506,512,470,7.32,7.6,7.58,7.26,7.8,7.78,7.92,8.11,7.86,7.86,7.78,7.88,7.23
70,471,537,478,525,519,492,498,501,482,473,516,487,521,7.25,8.26,7.35,8.08,7.98,7.57,7.66,7.71,7.42,7.28,7.94,7.49,8.02
71,494,518,465,487,521,505,489,482,492,506,496,554,491,7.6,7.97,7.15,7.49,8.02,7.77,7.52,7.42,7.57,7.78,7.63,8.52,7.55
72,473,511,454,497,475,476,528,499,520,493,491,528,555,7.28,7.86,6.98,7.65,7.31,7.32,8.12,7.68,8.0,7.58,7.55,8.12,8.54
73,512,464,508,476,496,483,486,546,502,471,513,534,509,7.88,7.14,7.82,7.32,7.63,7.43,7.48,8.4,7.72,7.25,7.89,8.22,7.83
74,505,501,493,490,484,496,517,520,506,493,506,527,462,7.77,7.71,7.58,7.54,7.45,7.63,7.95,8.0,7.78,7.58,7.78,8.11,7.11
75,492,484,480,508,495,535,497,505,490,486,506,519,503,7.57,7.45,7.38,7.82,7.62,8.23,7.65,7.77,7.54,7.48,7.78,7.98,7.74
76,500,500,484,557,516,520,474,484,501,479,493,529,463,7.69,7.69,7.45,8.57,7.94,8.0,7.29,7.45,7.71,7.37,7.58,8.14,7.12
77,504,508,518,511,467,480,466,534,473,510,514,530,485,7.75,7.82,7.97,7.86,7.18,7.38,7.17,8.22,7.28,7.85,7.91,8.15,7.46
78,512,448,531,503,496,445,495,527,494,493,519,520,517,7.88,6.89,8.17,7.74,7.63,6.85,7.62,8.11,7.6,7.58,7.98,8.0,7.95
79,515,504,517,478,525,493,473,489,529,495,467,501,514,7.92,7.75,7.95,7.35,8.08,7.58,7.28,7.52,8.14,7.62,7.18,7.71,7.91
80,504,524,473,481,483,525,499,509,470,494,503,518,517,7.75,8.06,7.28,7.4,7.43,8.08,7.68,7.83,7.23,7.6,7.74,7.97,7.95
81,529,484,504,499,510,503,498,494,513,504,458,511,493,8.14,7.45,7.75,7.68,7.85,7.74,7.66,7.6,7.89,7.75,7.05,7.86,7.58
82,471,495,548,493,509,526,488,506,492,475,497,497,503,7.25,7.62,8.43,7.58,7.83,8.09,7.51,7.78,7.57,7.31,7.65,7.65,7.74
83,491,450,506,513,491,498,501,557,482,511,483,514,503,7.55,6.92,7.78,7.89,7.55,7.66,7.71,8.57,7.42,7.86,7.43,7.91,7.74
84,498,492,485,527,497,505,481,539,505,499,515,473,484,7.66,7.57,7.46,8.11,7.65,7.77,7.4,8.29,7.77,7.68,7.92,7.28,7.45
85,503,520,495,473,515,503,504,483,507,463,537,500,497,7.74,8.0,7.62,7.28,7.92,7.74,7.75,7.43,7.8,7.12,8.26,7.69,7.65
87,492,496,511,483,491,511,513,500,485,513,528,523,454,7.57,7.63,7.86,7.43,7.55,7.86,7.89,7.69,7.46,7.89,8.12,8.05,6.98
88,467,518,519,488,515,529,477,515,465,475,519,508,505,7.18,7.97,7.98,7.51,7.92,8.14,7.34,7.92,7.15,7.31,7.98,7.82,7.77
89,489,504,503,477,485,506,499,524,509,496,504,490,514,7.52,7.75,7.74,7.34,7.46,7.78,7.68,8.06,7.83,7.63,7.75,7.54,7.91
