Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16
20,486,498,519,542,522,508,511,506,476,497,452,475,506,494,510,508,490,5.72,5.86,6.11,6.38,6.14,5.98,6.01,5.95,5.6,5.85,5.32,5.59,5.95,5.81,6.0,5.98,5.76
21,493,495,499,516,470,520,486,510,483,478,497,521,493,525,489,521,504,5.8,5.82,5.87,6.07,5.53,6.12,5.72,6.0,5.68,5.62,5.85,6.13,5.8,6.18,5.75,6.13,5.93
22,487,487,504,508,471,508,497,485,500,505,521,467,498,482,497,557,526,5.73,5.73,5.93,5.98,5.54,5.98,5.85,5.71,5.88,5.94,6.13,5.49,5.86,5.67,5.85,6.55,6.19
23,505,517,478,486,498,525,549,483,493,485,465,490,523,495,491,528,489,5.94,6.08,5.62,5.72,5.86,6.18,6.46,5.68,5.8,5.71,5.47,5.76,6.15,5.82,5.78,6.21,5.75
24,477,462,501,513,498,501,465,510,562,530,465,508,493,496,512,511,496,5.61,5.44,5.89,6.04,5.86,5.89,5.47,6.0,6.61,6.24,5.47,5.98,5.8,5.84,6.02,6.01,5.84
25,508,462,521,493,489,535,521,518,508,499,504,514,515,475,512,458,468,5.98,5.44,6.13,5.8,5.75,6.29,6.13,6.09,5.98,5.87,5.93,6.05,6.06,5.59,6.02,5.39,5.51
26,538,475,507,509,510,445,531,529,513,473,529,473,449,513,545,490,471,6.33,5.59,5.96,5.99,6.0,5.24,6.25,6.22,6.04,5.56,6.22,5.56,5.28,6.04,6.41,5.76,5.54
27,513,502,510,484,540,526,496,468,546,489,491,468,524,475,503,493,472,6.04,5.91,6.0,5.69,6.35,6.19,5.84,5.51,6.42,5.75,5.78,5.51,6.16,5.59,5.92,5.8,5.55
28,492,515,471,485,460,520,490,505,491,508,502,517,534,505,542,504,459,5.79,6.06,5.54,5.71,5.41,6.12,5.76,5.94,5.78,5.98,5.91,6.08,6.28,5.94,6.38,5.93,5.4
29,517,482,521,517,492,489,468,492,536,510,492,524,528,459,514,473,486,6.08,5.67,6.13,6.08,5.79,5.75,5.51,5.79,6.31,6.0,5.79,6.16,6.21,5.4,6.05,5.56,5.72
30,462,512,491,474,538,521,538,493,481,507,489,511,510,493,513,481,486,5.44,6.02,5.78,5.58,6.33,6.13,6.33,5.8,5.66,5.96,5.75,6.01,6.0,5.8,6.04,5.66,5.72
31,465,486,527,498,542,511,507,505,483,519,489,521,471,498,493,501,484,5.47,5.72,6.2,5.86,6.38,6.01,5.96,5.94,5.68,6.11,5.75,6.13,5.54,5.86,5.8,5.89,5.69
32,531,532,494,477,502,532,480,495,512,493,501,517,467,456,491,536,484,6.25,6.26,5.81,5.61,5.91,6.26,5.65,5.82,6.02,5.8,5.89,6.08,5.49,5.36,5.78,6.31,5.69
33,490,456,476,493,509,510,494,550,492,487,518,554,500,513,496,518,444,5.76,5.36,5.6,5.8,5.99,6.0,5.81,6.47,5.79,5.73,6.09,6.52,5.88,6.04,5.84,6.09,5.22
34,529,503,507,490,519,516,480,503,490,473,487,510,494,507,481,499,512,6.22,5.92,5.96,5.76,6.11,6.07,5.65,5.92,5.76,5.56,5.73,6.0,5.81,5.96,5.66,5.87,6.02
35,477,525,486,526,517,523,495,497,485,522,495,501,450,496,502,507,496,5.61,6.18,5.72,6.19,6.08,6.15,5.82,5.85,5.71,6.14,5.82,5.89,5.29,5.84,5.91,5.96,5.84
36,465,516,487,533,508,484,510,534,523,508,492,471,508,482,491,512,476,5.47,6.07,5.73,6.27,5.98,5.69,6.0,6.28,6.15,5.98,5.79,5.54,5.98,5.67,5.78,6.02,5.6
37,461,504,487,520,486,525,540,498,455,490,475,505,517,487,515,530,505,5.42,5.93,5.73,6.12,5.72,6.18,6.35,5.86,5.35,5.76,5.59,5.94,6.08,5.73,6.06,6.24,5.94
38,497,501,518,500,499,512,475,470,497,499,513,506,483,550,505,494,481,5.85,5.89,6.09,5.88,5.87,6.02,5.59,5.53,5.85,5.87,6.04,5.95,5.68,6.47,5.94,5.81,5.66
39,545,490,526,516,503,493,484,489,489,484,504,527,500,504,485,475,486,6.41,5.76,6.19,6.07,5.92,5.8,5.69,5.75,5.75,5.69,5.93,6.2,5.88,5.93,5.71,5.59,5.72
40,475,564,494,505,451,477,501,453,504,535,524,511,502,501,530,469,504,5.59,6.64,5.81,5.94,5.31,5.61,5.89,5.33,5.93,6.29,6.16,6.01,5.91,5.89,6.24,5.52,5.93
41,525,488,482,523,509,493,474,504,491,577,495,498,499,478,473,469,522,6.18,5.74,5.67,6.15,5.99,5.8,5.58,5.93,5.78,6.79,5.82,5.86,5.87,5.62,5.56,5.52,6.14
42,494,516,503,536,470,494,502,466,525,521,491,479,478,507,511,550,457,5.81,6.07,5.92,6.31,5.53,5.81,5.91,5.48,6.18,6.13,5.78,5.64,5.62,5.96,6.01,6.47,5.38
43,448,503,491,499,501,488,508,483,502,524,490,507,496,502,503,529,526,5.27,5.92,5.78,5.87,5.89,5.74,5.98,5.68,5.91,6.16,5.76,5.96,5.84,5.91,5.92,6.22,6.19
44,510,493,479,530,507,509,462,490,526,491,504,501,496,534,477,505,486,6.0,5.8,5.64,6.24,5.96,5.99,5.44,5.76,6.19,5.78,5.93,5.89,5.84,6.28,5.61,5.94,5.72
45,462,465,497,537,486,524,536,493,486,507,481,497,520,486,532,511,480,5.44,5.47,5.85,6.32,5.72,6.16,6.31,5.8,5.72,5.96,5.66,5.85,6.12,5.72,6.26,6.01,5.65
46,446,510,467,496,506,501,531,525,474,542,506,502,468,462,519,526,519,5.25,6.0,5.49,5.84,5.95,5.89,6.25,6.18,5.58,6.38,5.95,5.91,5.51,5.44,6.11,6.19,6.11
47,504,513,529,496,516,533,476,472,504,474,512,501,533,488,490,470,489,5.93,6.04,6.22,5.84,6.07,6.27,5.6,5.55,5.93,5.58,6.02,5.89,6.27,5.74,5.76,5.53,5.75
48,489,459,527,493,498,503,492,473,500,507,533,518,475,503,511,505,514,5.75,5.4,6.2,5.8,5.86,5.92,5.79,5.56,5.88,5.96,6.27,6.09,5.59,5.92,6.01,5.94,6.05
49,515,475,517,518,484,505,475,505,502,489,467,538,509,519,493,534,455,6.06,5.59,6.08,6.09,5.69,5.94,5.59,5.94,5.91,5.75,5.49,6.33,5.99,6.11,5.8,6.28,5.35
50,525,484,493,551,507,478,492,473,469,540,523,504,461,495,489,512,504,6.18,5.69,5.8,6.48,5.96,5.62,5.79,5.56,5.52,6.35,6.15,5.93,5.42,5.82,5.75,6.02,5.93
51,487,530,492,489,510,469,487,499,504,482,544,471,489,529,505,500,513,5.73,6.24,5.79,5.75,6.0,5.52,5.73,5.87,5.93,5.67,6.4,5.54,5.75,6.22,5.94,5.88,6.04
52,529,454,478,473,510,497,484,550,497,534,510,496,480,484,498,523,503,6.22,5.34,5.62,5.56,6.0,5.85,5.69,6.47,5.85,6.28,6.0,5.84,5.65,5.69,5.86,6.15,5.92
53,494,466,555,517,491,533,471,521,484,519,471,490,464,461,505,557,501,5.81,5.48,6.53,6.08,5.78,6.27,5.54,6.13,5.69,6.11,5.54,5.76,5.46,5.42,5.94,6.55,5.89
54,488,497,510,540,494,516,496,497,508,503,476,494,496,480,497,524,484,5.74,5.85,6.0,6.35,5.81,6.07,5.84,5.85,5.98,5.92,5.6,5.81,5.84,5.65,5.85,6.16,5.69
55,499,527,510,483,508,480,492,497,544,458,513,476,488,525,467,527,506,5.87,6.2,6.0,5.68,5.98,5.65,5.79,5.85,6.4,5.39,6.04,5.6,5.74,6.18,5.49,6.2,5.95
56,508,509,536,484,453,513,485,484,514,529,508,494,480,512,495,506,490,5.98,5.99,6.31,5.69,5.33,6.04,5.71,5.69,6.05,6.22,5.98,5.81,5.65,6.02,5.82,5.95,5.76
57,516,503,490,494,508,494,510,485,481,525,498,491,487,504,498,511,505,6.07,5.92,5.76,5.81,5.98,5.81,6.0,5.71,5.66,6.18,5.86,5.78,5.73,5.93,5.86,6.01,5.94
58,505,514,496,467,525,473,514,512,513,475,534,508,497,483,531,491,462,5.94,6.05,5.84,5.49,6.18,5.56,6.05,6.02,6.04,5.59,6.28,5.98,5.85,5.68,6.25,5.78,5.44
59,464,506,501,503,476,515,508,518,487,507,524,449,509,519,515,515,484,5.46,5.95,5.89,5.92,5.6,6.06,5.98,6.09,5.73,5.96,6.16,5.28,5.99,6.11,6.06,6.06,5.69
60,501,514,504,492,532,467,497,516,480,512,544,533,485,473,481,475,494,5.89,6.05,5.93,5.79,6.26,5.49,5.85,6.07,5.65,6.02,6.4,6.27,5.71,5.56,5.66,5.59,5.81
61,478,508,523,501,497,498,560,503,490,506,495,505,499,475,460,485,517,5.62,5.98,6.15,5.89,5.85,5.86,6.59,5.92,5.76,5.95,5.82,5.94,5.87,5.59,5.41,5.71,6.08
62,530,509,485,505,489,516,533,511,489,480,518,487,512,486,502,477,471,6.24,5.99,5.71,5.94,5.75,6.07,6.27,6.01,5.75,5.65,6.09,5.73,6.02,5.72,5.91,5.61,5.54
63,518,478,509,507,491,480,517,503,495,522,514,467,497,490,486,516,510,6.09,5.62,5.99,5.96,5.78,5.65,6.08,5.92,5.82,6.14,6.05,5.49,5.85,5.76,5.72,6.07,6.0
64,468,493,509,492,498,496,516,541,487,507,516,521,471,486,481,500,518,5.51,5.8,5.99,5.79,5.86,5.84,6.07,6.36,5.73,5.96,6.07,6.13,5.54,5.72,5.66,5.88,6.09
65,503,496,522,474,518,470,471,503,518,486,483,529,501,509,495,492,530,5.92,5.84,6.14,5.58,6.09,5.53,5.54,5.92,6.09,5.72,5.68,6.22,5.89,5.99,5.82,5.79,6.24
66,460,468,519,535,471,533,495,518,488,507,493,528,478,511,528,475,493,5.41,5.51,6.11,6.29,5.54,6.27,5.82,6.09,5.74,5.96,5.8,6.21,5.62,6.01,6.21,5.59,5.8
67,503,500,476,486,497,491,500,500,502,487,505,504,523,491,528,505,502,5.92,5.88,5.6,5.72,5.85,5.78,5.88,5.88,5.91,5.73,5.94,5.93,6.15,5.78,6.21,5.94,5.91
69,498,479,486,515,516,525,514,499,461,496,448,514,543,481,514,506,505,5.86,5.64,5.72,6.06,6.07,6.18,6.05,5.87,5.42,5.84,5.27,6.05,6.39,5.66,6.05,5.95,5.94
70,491,471,486,496,505,490,504,479,531,491,509,503,506,544,510,468,516,5.78,5.54,5.72,5.84,5.94,5.76,5.93,5.64,6.25,5.78,5.99,5.92,5.95,6.4,6.0,5.51,6.07
71,499,522,458,534,510,491,501,500,478,517,527,510,466,480,530,512,465,5.87,6.14,5.39,6.28,6.0,5.78,5.89,5.88,5.62,6.08,6.2,6.0,5.48,5.65,6.24,6.02,5.47
