Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7
94,503,493,520,540,502,491,483,468,12.57,12.32,13.0,13.5,12.55,12.28,12.07,11.7
95,521,500,522,499,489,505,515,449,13.03,12.5,13.05,12.47,12.22,12.62,12.88,11.22
96,533,474,514,484,487,530,475,503,13.33,11.85,12.85,12.1,12.17,13.25,11.88,12.57
97,485,528,491,467,506,518,517,488,12.12,13.2,12.28,11.68,12.65,12.95,12.93,12.2
98,466,483,504,492,522,532,504,497,11.65,12.07,12.6,12.3,13.05,13.3,12.6,12.43
99,494,520,522,486,476,475,510,517,12.35,13.0,13.05,12.15,11.9,11.88,12.75,12.93
100,472,502,500,489,525,517,514,481,11.8,12.55,12.5,12.22,13.12,12.93,12.85,12.03
101,510,485,531,480,509,492,499,494,12.75,12.12,13.28,12.0,12.72,12.3,12.47,12.35
102,475,496,516,470,515,488,497,543,11.88,12.4,12.9,11.75,12.88,12.2,12.43,13.58
103,494,543,500,507,502,462,505,487,12.35,13.58,12.5,12.68,12.55,11.55,12.62,12.17
104,476,498,485,513,523,491,518,496,11.9,12.45,12.12,12.83,13.08,12.28,12.95,12.4
105,454,527,514,506,497,524,511,467,11.35,13.18,12.85,12.65,12.43,13.1,12.78,11.68
106,512,525,476,506,519,516,467,479,12.8,13.12,11.9,12.65,12.97,12.9,11.68,11.97
107,434,520,497,489,504,516,517,523,10.85,13.0,12.43,12.22,12.6,12.9,12.93,13.08
108,530,502,504,499,517,487,471,490,13.25,12.55,12.6,12.47,12.93,12.17,11.77,12.25
109,516,507,478,470,519,503,507,500,12.9,12.68,11.95,11.75,12.97,12.57,12.68,12.5
110,485,495,502,522,481,506,497,512,12.12,12.38,12.55,13.05,12.03,12.65,12.43,12.8
111,485,491,516,535,454,532,492,495,12.12,12.28,12.9,13.38,11.35,13.3,12.3,12.38
112,500,482,528,496,490,502,536,466,12.5,12.05,13.2,12.4,12.25,12.55,13.4,11.65
113,501,443,470,532,537,529,482,506,12.53,11.07,11.75,13.3,13.43,13.23,12.05,12.65
114,511,526,485,461,505,484,512,516,12.78,13.15,12.12,11.53,12.62,12.1,12.8,12.9
115,482,499,536,509,503,480,506,485,12.05,12.47,13.4,12.72,12.57,12.0,12.65,12.12
116,509,458,471,535,500,496,535,496,12.72,11.45,11.77,13.38,12.5,12.4,13.38,12.4
117,529,479,474,515,514,476,520,493,13.23,11.97,11.85,12.88,12.85,11.9,13.0,12.32
118,529,511,462,448,489,526,519,516,13.23,12.78,11.55,11.2,12.22,13.15,12.97,12.9
119,552,495,488,529,468,461,502,505,13.8,12.38,12.2,13.23,11.7,11.53,12.55,12.62
120,503,507,473,513,483,478,536,507,12.57,12.68,11.82,12.83,12.07,11.95,13.4,12.68
121,501,472,510,481,502,499,533,502,12.53,11.8,12.75,12.03,12.55,12.47,13.33,12.55
122,457,501,489,502,514,532,486,519,11.43,12.53,12.22,12.55,12.85,13.3,12.15,12.97
123,500,470,516,489,513,500,515,497,12.5,11.75,12.9,12.22,12.83,12.5,12.88,12.43
124,515,503,482,475,489,523,504,509,12.88,12.57,12.05,11.88,12.22,13.08,12.6,12.72
125,534,505,455,522,527,463,488,506,13.35,12.62,11.38,13.05,13.18,11.58,12.2,12.65
126,483,517,501,508,473,520,499,499,12.07,12.93,12.53,12.7,11.82,13.0,12.47,12.47
127,490,474,482,528,506,512,500,508,12.25,11.85,12.05,13.2,12.65,12.8,12.5,12.7
128,480,506,467,518,503,488,520,518,12.0,12.65,11.68,12.95,12.57,12.2,13.0,12.95
129,494,476,489,514,463,545,506,513,12.35,11.9,12.22,12.85,11.58,13.63,12.65,12.83
130,468,501,492,520,517,499,510,493,11.7,12.53,12.3,13.0,12.93,12.47,12.75,12.32
131,484,483,492,512,493,536,489,511,12.1,12.07,12.3,12.8,12.32,13.4,12.22,12.78
132,454,509,503,519,548,462,510,495,11.35,12.72,12.57,12.97,13.7,11.55,12.75,12.38
134,513,516,447,504,530,513,499,478,12.83,12.9,11.18,12.6,13.25,12.83,12.47,11.95
135,492,539,483,478,486,506,529,487,12.3,13.48,12.07,11.95,12.15,12.65,13.23,12.17
136,507,482,500,477,523,493,536,482,12.68,12.05,12.5,11.92,13.08,12.32,13.4,12.05
480,469,523,496,492,511,505,524,12.0,11.72,13.08,12.4,12.3,12.78,12.62,13.1
503,531,485,475,487,519,475,525,12.57,13.28,12.12,11.88,12.17,12.97,11.88,13.12
499,463,490,547,521,499,496,485,12.47,11.58,12.25,13.68,13.03,12.47,12.4,12.12
517,512,481,508,490,518,473,501,12.93,12.8,12.03,12.7,12.25,12.95,11.82,12.53
461,492,520,541,516,477,505,488,11.53,12.3,13.0,13.53,12.9,11.92,12.62,12.2
514,522,473,506,481,519,494,491,12.85,13.05,11.82,12.65,12.03,12.97,12.35,12.28
498,513,501,486,526,472,496,508,12.45,12.83,12.53,12.15,13.15,11.8,12.4,12.7
522,486,494,498,497,492,486,525,13.05,12.15,12.35,12.45,12.43,12.3,12.15,13.12
487,515,469,498,507,489,487,548,12.17,12.88,11.72,12.45,12.68,12.22,12.17,13.7
499,491,504,521,529,496,464,496,12.47,12.28,12.6,13.03,13.23,12.4,11.6,12.4
