Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14
13,480,497,524,472,500,529,499,515,482,509,482,526,492,489,504,6.4,6.63,6.99,6.29,6.67,7.05,6.65,6.87,6.43,6.79,6.43,7.01,6.56,6.52,6.72
14,496,508,454,476,483,506,502,469,512,521,501,483,528,523,538,6.61,6.77,6.05,6.35,6.44,6.75,6.69,6.25,6.83,6.95,6.68,6.44,7.04,6.97,7.17
15,488,534,536,468,488,521,509,511,476,516,494,502,470,462,525,6.51,7.12,7.15,6.24,6.51,6.95,6.79,6.81,6.35,6.88,6.59,6.69,6.27,6.16,7.0
16,503,539,449,479,512,484,484,512,506,518,511,500,523,479,501,6.71,7.19,5.99,6.39,6.83,6.45,6.45,6.83,6.75,6.91,6.81,6.67,6.97,6.39,6.68
17,490,506,483,497,493,479,529,502,476,491,505,520,538,499,492,6.53,6.75,6.44,6.63,6.57,6.39,7.05,6.69,6.35,6.55,6.73,6.93,7.17,6.65,6.56
18,478,463,493,537,557,480,505,497,500,516,469,494,477,507,527,6.37,6.17,6.57,7.16,7.43,6.4,6.73,6.63,6.67,6.88,6.25,6.59,6.36,6.76,7.03
19,491,551,549,488,463,460,537,509,497,449,521,485,491,528,481,6.55,7.35,7.32,6.51,6.17,6.13,7.16,6.79,6.63,5.99,6.95,6.47,6.55,7.04,6.41
20,533,499,493,486,488,506,485,544,506,489,453,527,506,483,502,7.11,6.65,6.57,6.48,6.51,6.75,6.47,7.25,6.75,6.52,6.04,7.03,6.75,6.44,6.69
21,508,469,503,546,496,498,496,481,499,502,477,474,551,509,491,6.77,6.25,6.71,7.28,6.61,6.64,6.61,6.41,6.65,6.69,6.36,6.32,7.35,6.79,6.55
22,510,537,503,478,498,517,444,516,470,523,486,497,515,508,498,6.8,7.16,6.71,6.37,6.64,6.89,5.92,6.88,6.27,6.97,6.48,6.63,6.87,6.77,6.64
23,508,537,505,491,519,475,493,485,478,481,529,500,487,488,524,6.77,7.16,6.73,6.55,6.92,6.33,6.57,6.47,6.37,6.41,7.05,6.67,6.49,6.51,6.99
24,511,519,477,502,493,476,529,515,501,502,457,481,512,496,529,6.81,6.92,6.36,6.69,6.57,6.35,7.05,6.87,6.68,6.69,6.09,6.41,6.83,6.61,7.05
25,498,482,495,498,503,515,500,512,517,438,551,504,483,526,478,6.64,6.43,6.6,6.64,6.71,6.87,6.67,6.83,6.89,5.84,7.35,6.72,6.44,7.01,6.37
26,491,472,511,513,482,527,474,492,479,485,548,541,464,515,506,6.55,6.29,6.81,6.84,6.43,7.03,6.32,6.56,6.39,6.47,7.31,7.21,6.19,6.87,6.75
27,511,467,534,506,472,499,493,515,502,514,519,487,499,509,473,6.81,6.23,7.12,6.75,6.29,6.65,6.57,6.87,6.69,6.85,6.92,6.49,6.65,6.79,6.31
28,492,475,489,481,554,542,509,468,448,521,549,482,495,498,497,6.56,6.33,6.52,6.41,7.39,7.23,6.79,6.24,5.97,6.95,7.32,6.43,6.6,6.64,6.63
29,492,504,483,502,478,534,488,484,502,501,528,476,497,508,523,6.56,6.72,6.44,6.69,6.37,7.12,6.51,6.45,6.69,6.68,7.04,6.35,6.63,6.77,6.97
30,479,492,501,469,539,471,472,536,501,487,514,493,510,533,503,6.39,6.56,6.68,6.25,7.19,6.28,6.29,7.15,6.68,6.49,6.85,6.57,6.8,7.11,6.71
31,505,444,522,501,504,473,535,519,520,516,498,481,478,518,486,6.73,5.92,6.96,6.68,6.72,6.31,7.13,6.92,6.93,6.88,6.64,6.41,6.37,6.91,6.48
32,472,508,487,473,506,517,515,479,541,498,497,520,502,462,523,6.29,6.77,6.49,6.31,6.75,6.89,6.87,6.39,7.21,6.64,6.63,6.93,6.69,6.16,6.97
33,480,530,474,502,497,511,519,482,515,532,496,460,495,508,499,6.4,7.07,6.32,6.69,6.63,6.81,6.92,6.43,6.87,7.09,6.61,6.13,6.6,6.77,6.65
34,498,529,497,490,473,522,506,501,494,514,480,499,523,474,500,6.64,7.05,6.63,6.53,6.31,6.96,6.75,6.68,6.59,6.85,6.4,6.65,6.97,6.32,6.67
35,512,486,475,526,498,514,528,501,498,481,467,486,535,498,495,6.83,6.48,6.33,7.01,6.64,6.85,7.04,6.68,6.64,6.41,6.23,6.48,7.13,6.64,6.6
36,502,453,496,543,462,479,493,504,494,530,518,497,528,499,502,6.69,6.04,6.61,7.24,6.16,6.39,6.57,6.72,6.59,7.07,6.91,6.63,7.04,6.65,6.69
37,521,480,484,518,478,524,454,508,485,540,554,512,494,490,458,6.95,6.4,6.45,6.91,6.37,6.99,6.05,6.77,6.47,7.2,7.39,6.83,6.59,6.53,6.11
38,499,520,492,536,511,462,483,516,496,528,474,536,501,492,454,6.65,6.93,6.56,7.15,6.81,6.16,6.44,6.88,6.61,7.04,6.32,7.15,6.68,6.56,6.05
39,516,473,510,519,461,499,521,525,507,478,512,472,485,510,512,6.88,6.31,6.8,6.92,6.15,6.65,6.95,7.0,6.76,6.37,6.83,6.29,6.47,6.8,6.83
40,505,524,483,496,480,504,544,526,533,484,463,504,462,493,499,6.73,6.99,6.44,6.61,6.4,6.72,7.25,7.01,7.11,6.45,6.17,6.72,6.16,6.57,6.65
41,546,496,526,474,489,496,534,476,499,507,489,520,502,457,489,7.28,6.61,7.01,6.32,6.52,6.61,7.12,6.35,6.65,6.76,6.52,6.93,6.69,6.09,6.52
42,459,498,457,506,494,519,496,518,537,475,525,508,528,495,485,6.12,6.64,6.09,6.75,6.59,6.92,6.61,6.91,7.16,6.33,7.0,6.77,7.04,6.6,6.47
43,506,522,493,518,525,492,486,527,481,499,449,494,480,532,496,6.75,6.96,6.57,6.91,7.0,6.56,6.48,7.03,6.41,6.65,5.99,6.59,6.4,7.09,6.61
44,523,503,462,521,492,503,502,519,504,519,515,502,465,479,491,6.97,6.71,6.16,6.95,6.56,6.71,6.69,6.92,6.72,6.92,6.87,6.69,6.2,6.39,6.55
45,537,473,502,481,487,473,476,531,497,520,516,512,501,519,475,7.16,6.31,6.69,6.41,6.49,6.31,6.35,7.08,6.63,6.93,6.88,6.83,6.68,6.92,6.33
46,559,482,459,506,522,517,492,535,498,498,490,473,514,466,489,7.45,6.43,6.12,6.75,6.96,6.89,6.56,7.13,6.64,6.64,6.53,6.31,6.85,6.21,6.52
47,492,501,474,489,506,514,497,471,501,509,477,504,547,510,508,6.56,6.68,6.32,6.52,6.75,6.85,6.63,6.28,6.68,6.79,6.36,6.72,7.29,6.8,6.77
48,524,469,481,487,470,510,487,523,513,520,478,496,519,526,497,6.99,6.25,6.41,6.49,6.27,6.8,6.49,6.97,6.84,6.93,6.37,6.61,6.92,7.01,6.63
49,480,503,483,548,490,475,505,486,506,518,480,524,500,495,507,6.4,6.71,6.44,7.31,6.53,6.33,6.73,6.48,6.75,6.91,6.4,6.99,6.67,6.6,6.76
50,517,531,508,496,481,473,496,491,510,499,478,529,502,478,511,6.89,7.08,6.77,6.61,6.41,6.31,6.61,6.55,6.8,6.65,6.37,7.05,6.69,6.37,6.81
51,489,513,523,510,498,498,502,512,464,501,451,508,496,534,501,6.52,6.84,6.97,6.8,6.64,6.64,6.69,6.83,6.19,6.68,6.01,6.77,6.61,7.12,6.68
52,507,465,494,514,501,488,526,492,483,493,531,494,512,516,484,6.76,6.2,6.59,6.85,6.68,6.51,7.01,6.56,6.44,6.57,7.08,6.59,6.83,6.88,6.45
53,502,467,497,467,499,470,499,508,535,492,485,487,545,530,517,6.69,6.23,6.63,6.23,6.65,6.27,6.65,6.77,7.13,6.56,6.47,6.49,7.27,7.07,6.89
54,493,499,495,499,522,483,467,491,489,519,487,474,570,501,511,6.57,6.65,6.6,6.65,6.96,6.44,6.23,6.55,6.52,6.92,6.49,6.32,7.6,6.68,6.81
55,527,484,527,492,527,529,480,457,485,490,515,489,522,503,473,7.03,6.45,7.03,6.56,7.03,7.05,6.4,6.09,6.47,6.53,6.87,6.52,6.96,6.71,6.31
56,487,499,522,479,519,518,521,508,509,471,542,469,462,515,479,6.49,6.65,6.96,6.39,6.92,6.91,6.95,6.77,6.79,6.28,7.23,6.25,6.16,6.87,6.39
57,517,512,507,509,472,510,468,469,481,506,500,513,522,520,494,6.89,6.83,6.76,6.79,6.29,6.8,6.24,6.25,6.41,6.75,6.67,6.84,6.96,6.93,6.59
58,522,484,491,502,504,532,520,491,476,496,536,524,467,476,479,6.96,6.45,6.55,6.69,6.72,7.09,6.93,6.55,6.35,6.61,7.15,6.99,6.23,6.35,6.39
59,532,497,492,553,467,482,459,492,514,498,514,493,510,494,503,7.09,6.63,6.56,7.37,6.23,6.43,6.12,6.56,6.85,6.64,6.85,6.57,6.8,6.59,6.71
60,482,526,505,541,500,468,487,531,468,491,499,507,469,534,492,6.43,7.01,6.73,7.21,6.67,6.24,6.49,7.08,6.24,6.55,6.65,6.76,6.25,7.12,6.56
61,475,482,520,492,495,489,497,490,520,528,513,531,503,496,469,6.33,6.43,6.93,6.56,6.6,6.52,6.63,6.53,6.93,7.04,6.84,7.08,6.71,6.61,6.25
62,498,516,509,541,486,471,513,481,477,505,539,508,505,467,484,6.64,6.88,6.79,7.21,6.48,6.28,6.84,6.41,6.36,6.73,7.19,6.77,6.73,6.23,6.45
63,510,531,498,506,502,496,484,470,502,497,508,490,496,505,505,6.8,7.08,6.64,6.75,6.69,6.61,6.45,6.27,6.69,6.63,6.77,6.53,6.61,6.73,6.73
64,502,525,465,459,506,514,476,528,530,494,476,495,501,539,490,6.69,7.0,6.2,6.12,6.75,6.85,6.35,7.04,7.07,6.59,6.35,6.6,6.68,7.19,6.53
65,492,480,449,518,478,497,456,530,507,497,534,497,536,504,525,6.56,6.4,5.99,6.91,6.37,6.63,6.08,7.07,6.76,6.63,7.12,6.63,7.15,6.72,7.0
66,542,512,492,501,539,535,464,477,496,485,491,505,476,463,522,7.23,6.83,6.56,6.68,7.19,7.13,6.19,6.36,6.61,6.47,6.55,6.73,6.35,6.17,6.96
67,495,502,479,534,483,502,502,507,499,536,508,488,497,460,508,6.6,6.69,6.39,7.12,6.44,6.69,6.69,6.76,6.65,7.15,6.77,6.51,6.63,6.13,6.77
68,528,503,480,498,490,502,503,479,479,493,497,529,529,482,508,7.04,6.71,6.4,6.64,6.53,6.69,6.71,6.39,6.39,6.57,6.63,7.05,7.05,6.43,6.77
69,513,520,467,503,553,462,497,467,506,514,509,531,491,467,500,6.84,6.93,6.23,6.71,7.37,6.16,6.63,6.23,6.75,6.85,6.79,7.08,6.55,6.23,6.67
70,497,526,495,475,465,484,490,484,528,483,542,499,530,477,525,6.63,7.01,6.6,6.33,6.2,6.45,6.53,6.45,7.04,6.44,7.23,6.65,7.07,6.36,7.0
71,517,497,491,518,487,502,498,500,507,500,485,485,508,507,498,6.89,6.63,6.55,6.91,6.49,6.69,6.64,6.67,6.76,6.67,6.47,6.47,6.77,6.76,6.64
72,513,525,490,499,488,518,486,511,500,561,486,478,526,417,502,6.84,7.0,6.53,6.65,6.51,6.91,6.48,6.81,6.67,7.48,6.48,6.37,7.01,5.56,6.69
73,501,507,523,533,485,487,484,461,493,495,514,514,509,519,475,6.68,6.76,6.97,7.11,6.47,6.49,6.45,6.15,6.57,6.6,6.85,6.85,6.79,6.92,6.33
74,496,519,521,524,459,492,501,493,489,510,543,495,468,527,463,6.61,6.92,6.95,6.99,6.12,6.56,6.68,6.57,6.52,6.8,7.24,6.6,6.24,7.03,6.17
75,464,496,493,535,482,490,518,494,505,489,511,514,470,517,522,6.19,6.61,6.57,7.13,6.43,6.53,6.91,6.59,6.73,6.52,6.81,6.85,6.27,6.89,6.96
76,485,541,510,470,524,481,545,471,501,518,496,497,473,514,474,6.47,7.21,6.8,6.27,6.99,6.41,7.27,6.28,6.68,6.91,6.61,6.63,6.31,6.85,6.32
78,483,491,498,481,532,520,482,533,511,521,498,476,510,498,466,6.44,6.55,6.64,6.41,7.09,6.93,6.43,7.11,6.81,6.95,6.64,6.35,6.8,6.64,6.21
79,527,516,484,490,478,487,476,476,527,497,507,549,492,523,471,7.03,6.88,6.45,6.53,6.37,6.49,6.35,6.35,7.03,6.63,6.76,7.32,6.56,6.97,6.28
80,501,482,511,507,516,498,485,496,519,497,513,503,486,488,498,6.68,6.43,6.81,6.76,6.88,6.64,6.47,6.61,6.92,6.63,6.84,6.71,6.48,6.51,6.64
