Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Times 18,Times 19,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17,Percent 18,Percent 19
10,503,479,475,493,539,544,490,476,519,488,495,500,437,496,520,469,515,562,519,481,5.03,4.79,4.75,4.93,5.39,5.44,4.9,4.76,5.19,4.88,4.95,5.0,4.37,4.96,5.2,4.69,5.15,5.62,5.19,4.81
11,471,485,475,512,510,463,505,523,456,487,522,503,484,496,496,562,510,531,515,494,4.71,4.85,4.75,5.12,5.1,4.63,5.05,5.23,4.56,4.87,5.22,5.03,4.84,4.96,4.96,5.62,5.1,5.31,5.15,4.94
12,486,494,478,480,479,506,517,554,503,513,505,482,456,532,514,507,555,465,499,475,4.86,4.94,4.78,4.8,4.79,5.06,5.17,5.54,5.03,5.13,5.05,4.82,4.56,5.32,5.14,5.07,5.55,4.65,4.99,4.75
13,535,498,521,510,462,490,494,523,479,473,515,474,493,479,544,537,492,483,507,491,5.35,4.98,5.21,5.1,4.62,4.9,4.94,5.23,4.79,4.73,5.15,4.74,4.93,4.79,5.44,5.37,4.92,4.83,5.07,4.91
14,497,492,502,485,523,470,498,508,496,509,476,486,505,539,535,467,487,516,474,535,4.97,4.92,5.02,4.85,5.23,4.7,4.98,5.08,4.96,5.09,4.76,4.86,5.05,5.39,5.35,4.67,4.87,5.16,4.74,5.35
15,454,542,501,527,479,514,494,460,502,527,449,503,486,500,528,465,524,514,536,495,4.54,5.42,5.01,5.27,4.79,5.14,4.94,4.6,5.02,5.27,4.49,5.03,4.86,5.0,5.28,4.65,5.24,5.14,5.36,4.95
16,520,503,489,522,522,489,496,478,505,469,495,477,533,498,505,509,496,505,500,489,5.2,5.03,4.89,5.22,5.22,4.89,4.96,4.78,5.05,4.69,4.95,4.77,5.33,4.98,5.05,5.09,4.96,5.05,5.0,4.89
17,514,510,507,539,505,537,457,488,464,518,512,479,532,476,495,492,494,496,486,499,5.14,5.1,5.07,5.39,5.05,5.37,4.57,4.88,4.64,5.18,5.12,4.79,5.32,4.76,4.95,4.92,4.94,4.96,4.86,4.99
18,497,534,494,510,499,520,462,505,489,479,496,514,535,493,494,424,517,537,495,506,4.97,5.34,4.94,5.1,4.99,5.2,4.62,5.05,4.89,4.79,4.96,5.14,5.35,4.93,4.94,4.24,5.17,5.37,4.95,5.06
19,523,482,459,535,502,510,499,467,469,502,477,567,503,455,555,494,538,472,520,471,5.23,4.82,4.59,5.35,5.02,5.1,4.99,4.67,4.69,5.02,4.77,5.67,5.03,4.55,5.55,4.94,5.38,4.72,5.2,4.71
20,506,536,504,486,476,486,469,533,508,512,503,483,510,512,500,513,488,461,517,497,5.06,5.36,5.04,4.86,4.76,4.86,4.69,5.33,5.08,5.12,5.03,4.83,5.1,5.12,5.0,5.13,4.88,4.61,5.17,4.97
21,525,532,522,511,517,511,466,477,512,488,509,501,475,473,467,502,526,489,508,489,5.25,5.32,5.22,5.11,5.17,5.11,4.66,4.77,5.12,4.88,5.09,5.01,4.75,4.73,4.67,5.02,5.26,4.89,5.08,4.89
22,486,490,494,487,499,523,503,518,500,523,485,455,510,477,481,555,525,502,469,518,4.86,4.9,4.94,4.87,4.99,5.23,5.03,5.18,5.0,5.23,4.85,4.55,5.1,4.77,4.81,5.55,5.25,5.02,4.69,5.18
23,518,530,487,509,498,487,508,486,490,474,468,543,472,515,525,497,481,500,505,507,5.18,5.3,4.87,5.09,4.98,4.87,5.08,4.86,4.9,4.74,4.68,5.43,4.72,5.15,5.25,4.97,4.81,5.0,5.05,5.07
24,479,513,512,495,483,571,472,490,490,499,525,506,541,465,532,527,469,495,486,450,4.79,5.13,5.12,4.95,4.83,5.71,4.72,4.9,4.9,4.99,5.25,5.06,5.41,4.65,5.32,5.27,4.69,4.95,4.86,4.5
25,479,507,534,470,476,524,531,532,497,490,477,501,518,483,505,554,444,470,521,487,4.79,5.07,5.34,4.7,4.76,5.24,5.31,5.32,4.97,4.9,4.77,5.01,5.18,4.83,5.05,5.54,4.44,4.7,5.21,4.87
26,484,516,515,480,483,493,516,540,506,495,508,494,498,480,484,506,482,495,502,523,4.84,5.16,5.15,4.8,4.83,4.93,5.16,5.4,5.06,4.95,5.08,4.94,4.98,4.8,4.84,5.06,4.82,4.95,5.02,5.23
27,491,515,485,502,465,576,513,496,496,505,500,493,518,514,515,477,473,504,462,500,4.91,5.15,4.85,5.02,4.65,5.76,5.13,4.96,4.96,5.05,5.0,4.93,5.18,5.14,5.15,4.77,4.73,5.04,4.62,5.0
28,460,507,441,484,518,496,518,511,516,556,537,543,480,463,493,495,525,499,475,483,4.6,5.07,4.41,4.84,5.18,4.96,5.18,5.11,5.16,5.56,5.37,5.43,4.8,4.63,4.93,4.95,5.25,4.99,4.75,4.83
29,488,467,521,475,508,512,492,509,472,542,490,529,489,518,510,505,477,520,512,464,4.88,4.67,5.21,4.75,5.08,5.12,4.92,5.09,4.72,5.42,4.9,5.29,4.89,5.18,5.1,5.05,4.77,5.2,5.12,4.64
30,477,481,502,452,517,489,524,537,512,503,512,486,478,505,508,528,499,473,517,500,4.77,4.81,5.02,4.52,5.17,4.89,5.24,5.37,5.12,5.03,5.12,4.86,4.78,5.05,5.08,5.28,4.99,4.73,5.17,5.0
31,483,471,477,517,506,493,481,529,494,492,541,515,493,519,497,495,517,517,491,472,4.83,4.71,4.77,5.17,5.06,4.93,4.81,5.29,4.94,4.92,5.41,5.15,4.93,5.19,4.97,4.95,5.17,5.17,4.91,4.72
32,506,498,515,487,499,493,510,528,482,488,506,450,492,487,521,475,534,513,531,485,5.06,4.98,5.15,4.87,4.99,4.93,5.1,5.28,4.82,4.88,5.06,4.5,4.92,4.87,5.21,4.75,5.34,5.13,5.31,4.85
33,496,526,522,524,525,516,515,493,482,514,466,500,516,483,476,488,497,488,470,503,4.96,5.26,5.22,5.24,5.25,5.16,5.15,4.93,4.82,5.14,4.66,5.0,5.16,4.83,4.76,4.88,4.97,4.88,4.7,5.03
34,468,477,516,479,498,491,540,492,488,545,505,495,505,506,518,534,479,490,475,499,4.68,4.77,5.16,4.79,4.98,4.91,5.4,4.92,4.88,5.45,5.05,4.95,5.05,5.06,5.18,5.34,4.79,4.9,4.75,4.99
35,515,480,502,460,531,520,502,508,527,468,503,493,501,510,512,518,470,470,496,514,5.15,4.8,5.02,4.6,5.31,5.2,5.02,5.08,5.27,4.68,5.03,4.93,5.01,5.1,5.12,5.18,4.7,4.7,4.96,5.14
36,499,474,445,485,552,474,466,524,506,527,485,528,472,502,502,519,542,495,513,490,4.99,4.74,4.45,4.85,5.52,4.74,4.66,5.24,5.06,5.27,4.85,5.28,4.72,5.02,5.02,5.19,5.42,4.95,5.13,4.9
37,458,526,493,504,493,495,504,523,517,519,487,503,515,463,497,508,517,455,505,518,4.58,5.26,4.93,5.04,4.93,4.95,5.04,5.23,5.17,5.19,4.87,5.03,5.15,4.63,4.97,5.08,5.17,4.55,5.05,5.18
38,498,503,490,494,468,506,444,539,515,433,508,505,496,524,540,459,496,546,512,524,4.98,5.03,4.9,4.94,4.68,5.06,4.44,5.39,5.15,4.33,5.08,5.05,4.96,5.24,5.4,4.59,4.96,5.46,5.12,5.24
39,515,485,521,538,535,508,494,468,548,507,478,514,481,510,455,493,506,488,462,494,5.15,4.85,5.21,5.38,5.35,5.08,4.94,4.68,5.48,5.07,4.78,5.14,4.81,5.1,4.55,4.93,5.06,4.88,4.62,4.94
40,477,517,492,470,507,524,496,534,526,492,479,478,519,515,527,487,495,491,500,474,4.77,5.17,4.92,4.7,5.07,5.24,4.96,5.34,5.26,4.92,4.79,4.78,5.19,5.15,5.27,4.87,4.95,4.91,5.0,4.74
41,472,495,527,493,484,465,528,503,488,498,543,506,468,531,478,492,514,516,474,525,4.72,4.95,5.27,4.93,4.84,4.65,5.28,5.03,4.88,4.98,5.43,5.06,4.68,5.31,4.78,4.92,5.14,5.16,4.74,5.25
42,501,526,471,512,478,531,488,494,505,525,476,459,496,490,523,549,504,474,505,493,5.01,5.26,4.71,5.12,4.78,5.31,4.88,4.94,5.05,5.25,4.76,4.59,4.96,4.9,5.23,5.49,5.04,4.74,5.05,4.93
43,484,507,493,466,512,567,478,504,534,503,479,471,504,519,503,485,512,502,456,521,4.84,5.07,4.93,4.66,5.12,5.67,4.78,5.04,5.34,5.03,4.79,4.71,5.04,5.19,5.03,4.85,5.12,5.02,4.56,5.21
44,502,511,484,507,473,465,514,498,525,492,496,494,501,498,517,509,515,522,494,483,5.02,5.11,4.84,5.07,4.73,4.65,5.14,4.98,5.25,4.92,4.96,4.94,5.01,4.98,5.17,5.09,5.15,5.22,4.94,4.83
45,481,473,448,499,520,496,540,548,508,514,446,496,485,495,512,501,507,514,502,515,4.81,4.73,4.48,4.99,5.2,4.96,5.4,5.48,5.08,5.14,4.46,4.96,4.85,4.95,5.12,5.01,5.07,5.14,5.02,5.15
46,481,482,493,488,499,488,518,483,505,505,523,531,517,448,548,485,511,520,500,475,4.81,4.82,4.93,4.88,4.99,4.88,5.18,4.83,5.05,5.05,5.23,5.31,5.17,4.48,5.48,4.85,5.11,5.2,5.0,4.75
47,515,495,514,486,520,525,506,482,474,505,479,493,495,519,472,504,495,499,522,500,5.15,4.95,5.14,4.86,5.2,5.25,5.06,4.82,4.74,5.05,4.79,4.93,4.95,5.19,4.72,5.04,4.95,4.99,5.22,5.0
48,511,501,518,528,473,510,519,512,495,508,458,510,509,477,522,492,480,481,507,489,5.11,5.01,5.18,5.28,4.73,5.1,5.19,5.12,4.95,5.08,4.58,5.1,5.09,4.77,5.22,4.92,4.8,4.81,5.07,4.89
49,513,499,488,511,502,496,558,514,523,474,494,492,472,502,481,544,478,465,509,485,5.13,4.99,4.88,5.11,5.02,4.96,5.58,5.14,5.23,4.74,4.94,4.92,4.72,5.02,4.81,5.44,4.78,4.65,5.09,4.85
50,473,460,495,500,480,513,506,500,510,486,499,521,502,505,506,500,505,519,523,497,4.73,4.6,4.95,5.0,4.8,5.13,5.06,5.0,5.1,4.86,4.99,5.21,5.02,5.05,5.06,5.0,5.05,5.19,5.23,4.97
51,517,494,495,494,514,527,488,496,476,487,482,507,541,479,480,477,484,521,544,497,5.17,4.94,4.95,4.94,5.14,5.27,4.88,4.96,4.76,4.87,4.82,5.07,5.41,4.79,4.8,4.77,4.84,5.21,5.44,4.97
52,525,502,486,540,494,500,488,535,481,479,503,466,526,475,459,498,541,563,477,462,5.25,5.02,4.86,5.4,4.94,5.0,4.88,5.35,4.81,4.79,5.03,4.66,5.26,4.75,4.59,4.98,5.41,5.63,4.77,4.62
53,499,488,486,502,498,463,505,534,527,463,494,490,505,529,494,525,474,521,491,512,4.99,4.88,4.86,5.02,4.98,4.63,5.05,5.34,5.27,4.63,4.94,4.9,5.05,5.29,4.94,5.25,4.74,5.21,4.91,5.12
54,506,482,517,486,493,490,487,505,497,502,530,476,476,486,492,494,475,550,509,547,5.06,4.82,5.17,4.86,4.93,4.9,4.87,5.05,4.97,5.02,5.3,4.76,4.76,4.86,4.92,4.94,4.75,5.5,5.09,5.47
55,510,506,476,486,473,524,514,526,489,480,533,466,509,492,465,504,517,536,489,505,5.1,5.06,4.76,4.86,4.73,5.24,5.14,5.26,4.89,4.8,5.33,4.66,5.09,4.92,4.65,5.04,5.17,5.36,4.89,5.05
56,510,497,509,461,485,534,499,524,498,510,517,489,533,491,485,468,526,519,474,471,5.1,4.97,5.09,4.61,4.85,5.34,4.99,5.24,4.98,5.1,5.17,4.89,5.33,4.91,4.85,4.68,5.26,5.19,4.74,4.71
57,488,520,507,452,503,502,488,511,496,475,517,501,538,507,481,520,505,502,510,477,4.88,5.2,5.07,4.52,5.03,5.02,4.88,5.11,4.96,4.75,5.17,5.01,5.38,5.07,4.81,5.2,5.05,5.02,5.1,4.77
58,452,505,515,476,514,549,496,497,498,518,476,457,497,510,483,486,488,527,526,530,4.52,5.05,5.15,4.76,5.14,5.49,4.96,4.97,4.98,5.18,4.76,4.57,4.97,5.1,4.83,4.86,4.88,5.27,5.26,5.3
58,484,492,501,513,490,518,512,490,502,471,499,505,504,526,496,481,505,516,474,521,4.84,4.92,5.01,5.13,4.9,5.18,5.12,4.9,5.02,4.71,4.99,5.05,5.04,5.26,4.96,4.81,5.05,5.16,4.74,5.21
58,497,523,507,510,515,476,496,508,479,511,512,474,491,498,488,489,520,482,543,481,4.97,5.23,5.07,5.1,5.15,4.76,4.96,5.08,4.79,5.11,5.12,4.74,4.91,4.98,4.88,4.89,5.2,4.82,5.43,4.81
59,484,545,491,523,503,485,515,499,526,494,502,488,504,475,481,494,498,488,548,457,4.84,5.45,4.91,5.23,5.03,4.85,5.15,4.99,5.26,4.94,5.02,4.88,5.04,4.75,4.81,4.94,4.98,4.88,5.48,4.57
59,527,515,517,528,475,487,508,538,528,447,510,467,523,511,451,498,512,458,509,491,5.27,5.15,5.17,5.28,4.75,4.87,5.08,5.38,5.28,4.47,5.1,4.67,5.23,5.11,4.51,4.98,5.12,4.58,5.09,4.91
59,495,496,491,513,509,449,483,519,481,492,511,522,501,529,526,511,482,518,482,490,4.95,4.96,4.91,5.13,5.09,4.49,4.83,5.19,4.81,4.92,5.11,5.22,5.01,5.29,5.26,5.11,4.82,5.18,4.82,4.9
60,524,513,483,512,483,465,470,488,505,480,510,533,526,515,492,522,492,481,519,487,5.24,5.13,4.83,5.12,4.83,4.65,4.7,4.88,5.05,4.8,5.1,5.33,5.26,5.15,4.92,5.22,4.92,4.81,5.19,4.87
61,525,457,544,462,487,469,501,503,483,487,487,519,528,481,527,511,497,507,506,519,5.25,4.57,5.44,4.62,4.87,4.69,5.01,5.03,4.83,4.87,4.87,5.19,5.28,4.81,5.27,5.11,4.97,5.07,5.06,5.19
62,466,521,515,511,522,498,496,494,489,452,502,490,529,530,492,500,494,506,489,504,4.66,5.21,5.15,5.11,5.22,4.98,4.96,4.94,4.89,4.52,5.02,4.9,5.29,5.3,4.92,5.0,4.94,5.06,4.89,5.04
63,465,483,530,522,470,504,546,515,498,511,494,497,522,484,492,479,500,490,484,514,4.65,4.83,5.3,5.22,4.7,5.04,5.46,5.15,4.98,5.11,4.94,4.97,5.22,4.84,4.92,4.79,5.0,4.9,4.84,5.14
64,471,523,525,472,526,507,488,487,469,530,480,486,479,510,510,493,487,523,544,490,4.71,5.23,5.25,4.72,5.26,5.07,4.88,4.87,4.69,5.3,4.8,4.86,4.79,5.1,5.1,4.93,4.87,5.23,5.44,4.9
65,499,469,538,518,484,518,501,497,493,502,497,464,481,498,487,481,547,506,497,523,4.99,4.69,5.38,5.18,4.84,5.18,5.01,4.97,4.93,5.02,4.97,4.64,4.81,4.98,4.87,4.81,5.47,5.06,4.97,5.23
66,451,463,503,508,535,518,464,472,488,496,542,526,488,501,501,482,539,507,524,492,4.51,4.63,5.03,5.08,5.35,5.18,4.64,4.72,4.88,4.96,5.42,5.26,4.88,5.01,5.01,4.82,5.39,5.07,5.24,4.92
67,546,482,485,512,518,484,517,515,522,505,491,476,471,491,468,490,519,517,491,500,5.46,4.82,4.85,5.12,5.18,4.84,5.17,5.15,5.22,5.05,4.91,4.76,4.71,4.91,4.68,4.9,5.19,5.17,4.91,5.0
68,503,504,518,480,516,491,497,512,491,511,488,497,521,526,495,450,502,487,518,493,5.03,5.04,5.18,4.8,5.16,4.91,4.97,5.12,4.91,5.11,4.88,4.97,5.21,5.26,4.95,4.5,5.02,4.87,5.18,4.93
69,485,483,513,522,492,481,513,503,506,524,495,477,495,528,499,491,498,476,495,524,4.85,4.83,5.13,5.22,4.92,4.81,5.13,5.03,5.06,5.24,4.95,4.77,4.95,5.28,4.99,4.91,4.98,4.76,4.95,5.24
69,513,523,506,516,530,502,501,524,432,473,550,495,515,546,476,510,503,484,418,483,5.13,5.23,5.06,5.16,5.3,5.02,5.01,5.24,4.32,4.73,5.5,4.95,5.15,5.46,4.76,5.1,5.03,4.84,4.18,4.83
70,478,487,518,534,486,469,484,469,512,484,524,525,501,524,513,552,491,491,471,487,4.78,4.87,5.18,5.34,4.86,4.69,4.84,4.69,5.12,4.84,5.24,5.25,5.01,5.24,5.13,5.52,4.91,4.91,4.71,4.87
71,488,498,505,508,515,504,512,508,489,504,521,484,485,483,489,494,482,502,504,525,4.88,4.98,5.05,5.08,5.15,5.04,5.12,5.08,4.89,5.04,5.21,4.84,4.85,4.83,4.89,4.94,4.82,5.02,5.04,5.25
72,509,476,485,468,508,492,475,499,527,491,523,532,509,499,507,487,500,494,529,490,5.09,4.76,4.85,4.68,5.08,4.92,4.75,4.99,5.27,4.91,5.23,5.32,5.09,4.99,5.07,4.87,5.0,4.94,5.29,4.9
73,481,497,502,503,491,494,503,534,503,508,487,531,486,519,509,505,477,476,522,472,4.81,4.97,5.02,5.03,4.91,4.94,5.03,5.34,5.03,5.08,4.87,5.31,4.86,5.19,5.09,5.05,4.77,4.76,5.22,4.72
74,502,529,523,514,513,503,507,492,500,480,490,482,468,516,481,508,503,496,503,490,5.02,5.29,5.23,5.14,5.13,5.03,5.07,4.92,5.0,4.8,4.9,4.82,4.68,5.16,4.81,5.08,5.03,4.96,5.03,4.9
75,471,526,491,523,466,508,483,485,505,467,513,508,527,454,459,523,525,503,516,547,4.71,5.26,4.91,5.23,4.66,5.08,4.83,4.85,5.05,4.67,5.13,5.08,5.27,4.54,4.59,5.23,5.25,5.03,5.16,5.47
76,499,506,511,516,521,519,502,483,466,478,526,499,479,494,512,499,465,531,490,504,4.99,5.06,5.11,5.16,5.21,5.19,5.02,4.83,4.66,4.78,5.26,4.99,4.79,4.94,5.12,4.99,4.65,5.31,4.9,5.04
77,459,459,498,509,537,478,491,509,487,495,475,517,548,539,482,470,491,530,517,509,4.59,4.59,4.98,5.09,5.37,4.78,4.91,5.09,4.87,4.95,4.75,5.17,5.48,5.39,4.82,4.7,4.91,5.3,5.17,5.09
78,484,517,513,485,537,482,487,512,478,502,510,508,537,515,494,474,518,488,467,492,4.84,5.17,5.13,4.85,5.37,4.82,4.87,5.12,4.78,5.02,5.1,5.08,5.37,5.15,4.94,4.74,5.18,4.88,4.67,4.92
79,503,512,496,504,521,538,507,520,472,492,481,467,464,466,549,518,494,540,517,439,5.03,5.12,4.96,5.04,5.21,5.38,5.07,5.2,4.72,4.92,4.81,4.67,4.64,4.66,5.49,5.18,4.94,5.4,5.17,4.39
80,468,480,507,494,484,559,509,486,483,526,496,513,480,548,501,495,504,472,500,495,4.68,4.8,5.07,4.94,4.84,5.59,5.09,4.86,4.83,5.26,4.96,5.13,4.8,5.48,5.01,4.95,5.04,4.72,5.0,4.95
81,507,435,492,503,524,491,506,503,478,470,542,541,509,509,482,498,505,497,533,475,5.07,4.35,4.92,5.03,5.24,4.91,5.06,5.03,4.78,4.7,5.42,5.41,5.09,5.09,4.82,4.98,5.05,4.97,5.33,4.75
82,524,506,476,500,459,474,494,468,507,513,508,517,540,481,493,492,509,485,539,515,5.24,5.06,4.76,5.0,4.59,4.74,4.94,4.68,5.07,5.13,5.08,5.17,5.4,4.81,4.93,4.92,5.09,4.85,5.39,5.15
83,456,497,483,530,497,510,464,498,502,514,531,533,509,458,474,510,513,482,507,532,4.56,4.97,4.83,5.3,4.97,5.1,4.64,4.98,5.02,5.14,5.31,5.33,5.09,4.58,4.74,5.1,5.13,4.82,5.07,5.32
84,512,483,489,517,521,506,487,499,514,466,484,529,494,509,516,496,495,522,481,480,5.12,4.83,4.89,5.17,5.21,5.06,4.87,4.99,5.14,4.66,4.84,5.29,4.94,5.09,5.16,4.96,4.95,5.22,4.81,4.8
85,518,473,559,514,503,453,464,492,496,496,539,517,520,475,496,482,507,507,505,484,5.18,4.73,5.59,5.14,5.03,4.53,4.64,4.92,4.96,4.96,5.39,5.17,5.2,4.75,4.96,4.82,5.07,5.07,5.05,4.84
86,497,490,493,536,481,501,509,489,491,526,502,481,478,467,509,499,520,519,500,512,4.97,4.9,4.93,5.36,4.81,5.01,5.09,4.89,4.91,5.26,5.02,4.81,4.78,4.67,5.09,4.99,5.2,5.19,5.0,5.12
87,525,485,508,483,558,461,498,511,489,471,512,528,516,525,458,494,517,484,450,527,5.25,4.85,5.08,4.83,5.58,4.61,4.98,5.11,4.89,4.71,5.12,5.28,5.16,5.25,4.58,4.94,5.17,4.84,4.5,5.27
88,472,520,541,503,436,509,509,505,491,523,450,505,481,522,479,517,494,544,521,478,4.72,5.2,5.41,5.03,4.36,5.09,5.09,5.05,4.91,5.23,4.5,5.05,4.81,5.22,4.79,5.17,4.94,5.44,5.21,4.78
89,504,500,468,524,547,469,527,500,544,524,473,507,466,524,498,489,490,439,504,503,5.04,5.0,4.68,5.24,5.47,4.69,5.27,5.0,5.44,5.24,4.73,5.07,4.66,5.24,4.98,4.89,4.9,4.39,5.04,5.03
90,490,517,470,498,493,513,544,499,515,509,482,515,469,483,525,515,487,499,488,489,4.9,5.17,4.7,4.98,4.93,5.13,5.44,4.99,5.15,5.09,4.82,5.15,4.69,4.83,5.25,5.15,4.87,4.99,4.88,4.89
91,494,491,502,484,508,485,536,488,477,500,519,513,478,522,526,526,515,487,485,464,4.94,4.91,5.02,4.84,5.08,4.85,5.36,4.88,4.77,5.0,5.19,5.13,4.78,5.22,5.26,5.26,5.15,4.87,4.85,4.64
92,515,488,500,497,469,524,495,490,473,479,503,510,532,479,519,509,500,533,488,497,5.15,4.88,5.0,4.97,4.69,5.24,4.95,4.9,4.73,4.79,5.03,5.1,5.32,4.79,5.19,5.09,5.0,5.33,4.88,4.97
93,468,506,461,497,477,449,543,516,514,517,504,545,451,491,545,502,498,520,489,507,4.68,5.06,4.61,4.97,4.77,4.49,5.43,5.16,5.14,5.17,5.04,5.45,4.51,4.91,5.45,5.02,4.98,5.2,4.89,5.07
94,471,488,473,527,514,518,505,476,540,480,448,502,495,495,505,479,524,534,508,518,4.71,4.88,4.73,5.27,5.14,5.18,5.05,4.76,5.4,4.8,4.48,5.02,4.95,4.95,5.05,4.79,5.24,5.34,5.08,5.18
95,487,481,510,486,484,493,500,512,491,502,543,543,508,500,505,476,480,506,476,517,4.87,4.81,5.1,4.86,4.84,4.93,5.0,5.12,4.91,5.02,5.43,5.43,5.08,5.0,5.05,4.76,4.8,5.06,4.76,5.17
96,524,492,522,453,470,495,539,497,454,527,472,487,496,535,528,499,516,474,530,490,5.24,4.92,5.22,4.53,4.7,4.95,5.39,4.97,4.54,5.27,4.72,4.87,4.96,5.35,5.28,4.99,5.16,4.74,5.3,4.9
97,454,509,486,548,503,483,478,492,515,537,558,505,509,481,512,481,475,495,494,485,4.54,5.09,4.86,5.48,5.03,4.83,4.78,4.92,5.15,5.37,5.58,5.05,5.09,4.81,5.12,4.81,4.75,4.95,4.94,4.85
98,493,513,473,494,491,491,486,525,530,493,508,530,492,492,465,508,520,496,514,486,4.93,5.13,4.73,4.94,4.91,4.91,4.86,5.25,5.3,4.93,5.08,5.3,4.92,4.92,4.65,5.08,5.2,4.96,5.14,4.86
99,495,490,527,479,511,519,498,484,483,485,489,457,488,490,499,522,509,515,550,510,4.95,4.9,5.27,4.79,5.11,5.19,4.98,4.84,4.83,4.85,4.89,4.57,4.88,4.9,4.99,5.22,5.09,5.15,5.5,5.1
100,517,493,476,475,474,480,491,490,507,475,552,486,491,530,511,498,474,513,530,537,5.17,4.93,4.76,4.75,4.74,4.8,4.91,4.9,5.07,4.75,5.52,4.86,4.91,5.3,5.11,4.98,4.74,5.13,5.3,5.37
101,476,489,529,488,464,504,484,518,510,502,506,500,505,506,513,525,505,495,492,489,4.76,4.89,5.29,4.88,4.64,5.04,4.84,5.18,5.1,5.02,5.06,5.0,5.05,5.06,5.13,5.25,5.05,4.95,4.92,4.89
102,475,473,508,489,546,502,527,498,518,514,450,486,504,509,500,510,479,495,500,517,4.75,4.73,5.08,4.89,5.46,5.02,5.27,4.98,5.18,5.14,4.5,4.86,5.04,5.09,5.0,5.1,4.79,4.95,5.0,5.17
103,515,502,499,504,513,506,472,479,490,497,485,496,529,511,490,484,510,512,510,496,5.15,5.02,4.99,5.04,5.13,5.06,4.72,4.79,4.9,4.97,4.85,4.96,5.29,5.11,4.9,4.84,5.1,5.12,5.1,4.96
104,541,500,528,488,489,516,527,496,514,566,506,466,485,461,498,444,524,475,494,482,5.41,5.0,5.28,4.88,4.89,5.16,5.27,4.96,5.14,5.66,5.06,4.66,4.85,4.61,4.98,4.44,5.24,4.75,4.94,4.82
105,523,541,427,522,485,493,472,481,542,489,503,480,520,507,543,490,474,474,503,531,5.23,5.41,4.27,5.22,4.85,4.93,4.72,4.81,5.42,4.89,5.03,4.8,5.2,5.07,5.43,4.9,4.74,4.74,5.03,5.31
