Run #,Times 0,Times 1,Times 2,Percent 0,Percent 1,Percent 2
136,490,506,504,32.67,33.73,33.6
137,512,461,527,34.13,30.73,35.13
138,472,474,554,31.47,31.6,36.93
139,487,503,510,32.47,33.53,34.0
140,491,489,520,32.73,32.6,34.67
141,502,496,502,33.47,33.07,33.47
142,496,504,500,33.07,33.6,33.33
143,477,535,488,31.8,35.67,32.53
144,490,496,514,32.67,33.07,34.27
145,515,508,477,34.33,33.87,31.8
146,479,518,503,31.93,34.53,33.53
147,475,511,514,31.67,34.07,34.27
148,478,482,540,31.87,32.13,36.0
149,517,471,512,34.47,31.4,34.13
150,520,461,519,34.67,30.73,34.6
151,506,513,481,33.73,34.2,32.07
152,480,515,505,32.0,34.33,33.67
153,501,485,514,33.4,32.33,34.27
154,486,521,493,32.4,34.73,32.87
155,496,510,494,33.07,34.0,32.93
156,479,487,534,31.93,32.47,35.6
157,500,504,496,33.33,33.6,33.07
158,474,499,527,31.6,33.27,35.13
159,465,502,533,31.0,33.47,35.53
160,528,479,493,35.2,31.93,32.87
161,507,491,502,33.8,32.73,33.47
162,519,490,491,34.6,32.67,32.73
163,495,534,471,33.0,35.6,31.4
164,471,508,521,31.4,33.87,34.73
165,487,501,512,32.47,33.4,34.13
166,515,490,495,34.33,32.67,33.0
167,516,500,484,34.4,33.33,32.27
168,490,514,496,32.67,34.27,33.07
169,530,502,468,35.33,33.47,31.2
170,503,497,500,33.53,33.13,33.33
171,519,518,463,34.6,34.53,30.87
172,525,486,489,35.0,32.4,32.6
173,527,488,485,35.13,32.53,32.33
174,528,490,482,35.2,32.67,32.13
175,516,484,500,34.4,32.27,33.33
176,488,527,485,32.53,35.13,32.33
177,486,515,499,32.4,34.33,33.27
178,522,528,450,34.8,35.2,30.0
179,511,495,494,34.07,33.0,32.93
180,517,485,498,34.47,32.33,33.2
181,501,506,493,33.4,33.73,32.87
182,502,490,508,33.47,32.67,33.87
183,451,513,536,30.07,34.2,35.73
184,502,491,507,33.47,32.73,33.8
185,527,475,498,35.13,31.67,33.2
186,481,524,495,32.07,34.93,33.0
187,536,487,477,35.73,32.47,31.8
188,485,506,509,32.33,33.73,33.93
189,534,491,475,35.6,32.73,31.67
190,500,489,511,33.33,32.6,34.07
191,483,513,504,32.2,34.2,33.6
192,471,527,502,31.4,35.13,33.47
193,496,510,494,33.07,34.0,32.93
194,517,502,481,34.47,33.47,32.07
195,491,512,497,32.73,34.13,33.13
196,489,520,491,32.6,34.67,32.73
197,534,505,461,35.6,33.67,30.73
198,498,509,493,33.2,33.93,32.87
199,495,526,479,33.0,35.07,31.93
200,481,537,482,32.07,35.8,32.13
201,532,504,464,35.47,33.6,30.93
202,500,513,487,33.33,34.2,32.47
203,497,491,512,33.13,32.73,34.13
204,477,549,474,31.8,36.6,31.6
205,471,535,494,31.4,35.67,32.93
206,491,512,497,32.73,34.13,33.13
207,501,484,515,33.4,32.27,34.33
208,482,511,507,32.13,34.07,33.8
209,522,492,486,34.8,32.8,32.4
210,467,532,501,31.13,35.47,33.4
211,494,503,503,32.93,33.53,33.53
212,498,524,478,33.2,34.93,31.87
213,502,494,504,33.47,32.93,33.6
214,500,488,512,33.33,32.53,34.13
215,511,503,486,34.07,33.53,32.4
216,497,501,502,33.13,33.4,33.47
217,496,480,524,33.07,32.0,34.93
218,491,523,486,32.73,34.87,32.4
219,500,497,503,33.33,33.13,33.53
220,490,486,524,32.67,32.4,34.93
221,482,474,544,32.13,31.6,36.27
222,495,501,504,33.0,33.4,33.6
223,502,491,507,33.47,32.73,33.8
224,458,519,523,30.53,34.6,34.87
225,511,481,508,34.07,32.07,33.87
226,507,473,520,33.8,31.53,34.67
227,501,518,481,33.4,34.53,32.07
228,496,499,505,33.07,33.27,33.67
229,504,497,499,33.6,33.13,33.27
230,483,511,506,32.2,34.07,33.73
231,545,491,464,36.33,32.73,30.93
232,492,540,468,32.8,36.0,31.2
233,522,487,491,34.8,32.47,32.73
234,522,514,464,34.8,34.27,30.93
235,484,529,487,32.27,35.27,32.47
236,514,493,493,34.27,32.87,32.87
237,524,485,491,34.93,32.33,32.73
238,529,487,484,35.27,32.47,32.27
239,542,478,480,36.13,31.87,32.0
240,503,507,490,33.53,33.8,32.67
241,504,508,488,33.6,33.87,32.53
242,507,505,488,33.8,33.67,32.53
243,510,473,517,34.0,31.53,34.47
244,510,473,517,34.0,31.53,34.47
245,485,524,491,32.33,34.93,32.73
246,490,517,493,32.67,34.47,32.87
247,518,465,517,34.53,31.0,34.47
248,474,518,508,31.6,34.53,33.87
249,524,504,472,34.93,33.6,31.47
250,482,510,508,32.13,34.0,33.87
251,519,480,501,34.6,32.0,33.4
252,500,502,498,33.33,33.47,33.2
253,501,523,476,33.4,34.87,31.73
254,495,487,518,33.0,32.47,34.53
255,481,481,538,32.07,32.07,35.87
256,507,500,493,33.8,33.33,32.87
257,514,469,517,34.27,31.27,34.47
258,503,494,503,33.53,32.93,33.53
259,462,537,501,30.8,35.8,33.4
260,493,511,496,32.87,34.07,33.07
261,499,475,526,33.27,31.67,35.07
262,500,508,492,33.33,33.87,32.8
263,497,489,514,33.13,32.6,34.27
264,512,480,508,34.13,32.0,33.87
265,497,532,471,33.13,35.47,31.4
266,474,519,507,31.6,34.6,33.8
267,480,490,530,32.0,32.67,35.33
268,469,535,496,31.27,35.67,33.07
269,484,530,486,32.27,35.33,32.4
270,518,484,498,34.53,32.27,33.2
271,480,510,510,32.0,34.0,34.0
272,497,513,490,33.13,34.2,32.67
273,461,533,506,30.73,35.53,33.73
274,479,482,539,31.93,32.13,35.93
275,506,483,511,33.73,32.2,34.07
276,491,513,496,32.73,34.2,33.07
277,484,498,518,32.27,33.2,34.53
278,510,484,506,34.0,32.27,33.73
279,520,510,470,34.67,34.0,31.33
280,478,533,489,31.87,35.53,32.6
281,494,488,518,32.93,32.53,34.53
282,491,509,500,32.73,33.93,33.33
283,502,498,500,33.47,33.2,33.33
284,507,486,507,33.8,32.4,33.8
285,485,509,506,32.33,33.93,33.73
286,495,498,507,33.0,33.2,33.8
287,495,495,510,33.0,33.0,34.0
288,487,491,522,32.47,32.73,34.8
289,484,521,495,32.27,34.73,33.0
290,512,490,498,34.13,32.67,33.2
291,496,494,510,33.07,32.93,34.0
292,521,475,504,34.73,31.67,33.6
293,468,511,521,31.2,34.07,34.73
294,489,469,542,32.6,31.27,36.13
295,489,517,494,32.6,34.47,32.93
296,512,505,483,34.13,33.67,32.2
297,477,505,518,31.8,33.67,34.53
298,494,492,514,32.93,32.8,34.27
299,497,509,494,33.13,33.93,32.93
300,498,513,489,33.2,34.2,32.6
301,514,463,523,34.27,30.87,34.87
302,476,478,546,31.73,31.87,36.4
303,512,499,489,34.13,33.27,32.6
304,493,491,516,32.87,32.73,34.4
305,490,489,521,32.67,32.6,34.73
306,513,464,523,34.2,30.93,34.87
307,510,489,501,34.0,32.6,33.4
308,496,534,470,33.07,35.6,31.33
309,527,503,470,35.13,33.53,31.33
310,528,468,504,35.2,31.2,33.6
311,475,506,519,31.67,33.73,34.6
312,487,524,489,32.47,34.93,32.6
517,469,514,34.47,31.27,34.27
487,539,474,32.47,35.93,31.6
503,499,498,33.53,33.27,33.2
478,526,496,31.87,35.07,33.07
504,479,517,33.6,31.93,34.47
501,493,506,33.4,32.87,33.73
481,505,514,32.07,33.67,34.27
518,473,509,34.53,31.53,33.93
508,487,505,33.87,32.47,33.67
482,504,514,32.13,33.6,34.27
