Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9
33,509,455,497,552,477,463,533,522,489,503,10.18,9.1,9.94,11.04,9.54,9.26,10.66,10.44,9.78,10.06
34,545,533,448,520,463,493,504,443,522,529,10.9,10.66,8.96,10.4,9.26,9.86,10.08,8.86,10.44,10.58
35,529,502,483,514,519,476,489,498,507,483,10.58,10.04,9.66,10.28,10.38,9.52,9.78,9.96,10.14,9.66
36,493,498,472,497,509,453,506,482,534,556,9.86,9.96,9.44,9.94,10.18,9.06,10.12,9.64,10.68,11.12
37,507,507,519,434,480,490,490,541,502,530,10.14,10.14,10.38,8.68,9.6,9.8,9.8,10.82,10.04,10.6
38,451,509,500,522,501,482,533,501,489,512,9.02,10.18,10.0,10.44,10.02,9.64,10.66,10.02,9.78,10.24
39,550,490,481,491,490,516,486,510,496,490,11.0,9.8,9.62,9.82,9.8,10.32,9.72,10.2,9.92,9.8
40,510,459,526,503,503,527,478,498,510,486,10.2,9.18,10.52,10.06,10.06,10.54,9.56,9.96,10.2,9.72
41,498,495,516,515,511,492,511,490,481,491,9.96,9.9,10.32,10.3,10.22,9.84,10.22,9.8,9.62,9.82
42,507,471,509,492,493,498,500,497,514,519,10.14,9.42,10.18,9.84,9.86,9.96,10.0,9.94,10.28,10.38
43,515,516,537,476,508,489,478,506,474,501,10.3,10.32,10.74,9.52,10.16,9.78,9.56,10.12,9.48,10.02
44,518,502,490,560,475,489,494,497,457,518,10.36,10.04,9.8,11.2,9.5,9.78,9.88,9.94,9.14,10.36
45,496,490,470,498,487,521,512,532,479,515,9.92,9.8,9.4,9.96,9.74,10.42,10.24,10.64,9.58,10.3
46,495,521,513,466,500,476,491,480,547,511,9.9,10.42,10.26,9.32,10.0,9.52,9.82,9.6,10.94,10.22
47,476,519,518,483,547,502,508,458,484,505,9.52,10.38,10.36,9.66,10.94,10.04,10.16,9.16,9.68,10.1
48,506,470,507,478,511,510,497,475,516,530,10.12,9.4,10.14,9.56,10.22,10.2,9.94,9.5,10.32,10.6
49,474,544,515,495,513,467,510,510,490,482,9.48,10.88,10.3,9.9,10.26,9.34,10.2,10.2,9.8,9.64
50,485,487,518,514,505,526,488,516,485,476,9.7,9.74,10.36,10.28,10.1,10.52,9.76,10.32,9.7,9.52
51,468,531,498,501,479,517,527,482,509,488,9.36,10.62,9.96,10.02,9.58,10.34,10.54,9.64,10.18,9.76
52,546,520,488,500,485,488,512,498,487,476,10.92,10.4,9.76,10.0,9.7,9.76,10.24,9.96,9.74,9.52
53,473,494,487,523,496,478,533,493,528,495,9.46,9.88,9.74,10.46,9.92,9.56,10.66,9.86,10.56,9.9
54,499,548,496,495,544,463,505,472,485,493,9.98,10.96,9.92,9.9,10.88,9.26,10.1,9.44,9.7,9.86
55,514,489,510,474,487,530,503,476,548,469,10.28,9.78,10.2,9.48,9.74,10.6,10.06,9.52,10.96,9.38
56,529,512,526,478,466,521,515,481,470,502,10.58,10.24,10.52,9.56,9.32,10.42,10.3,9.62,9.4,10.04
57,500,481,515,522,533,491,509,481,486,482,10.0,9.62,10.3,10.44,10.66,9.82,10.18,9.62,9.72,9.64
58,494,485,472,507,525,471,520,537,513,476,9.88,9.7,9.44,10.14,10.5,9.42,10.4,10.74,10.26,9.52
59,502,486,529,494,506,481,494,496,501,511,10.04,9.72,10.58,9.88,10.12,9.62,9.88,9.92,10.02,10.22
60,466,478,515,493,524,490,550,530,485,469,9.32,9.56,10.3,9.86,10.48,9.8,11.0,10.6,9.7,9.38
61,474,553,465,487,482,518,502,503,508,508,9.48,11.06,9.3,9.74,9.64,10.36,10.04,10.06,10.16,10.16
62,522,506,501,490,487,483,502,490,490,529,10.44,10.12,10.02,9.8,9.74,9.66,10.04,9.8,9.8,10.58
63,521,496,501,488,454,495,521,504,506,514,10.42,9.92,10.02,9.76,9.08,9.9,10.42,10.08,10.12,10.28
64,507,464,495,480,514,493,498,523,527,499,10.14,9.28,9.9,9.6,10.28,9.86,9.96,10.46,10.54,9.98
65,506,456,501,491,495,513,509,496,522,511,10.12,9.12,10.02,9.82,9.9,10.26,10.18,9.92,10.44,10.22
66,521,504,507,481,469,524,492,491,524,487,10.42,10.08,10.14,9.62,9.38,10.48,9.84,9.82,10.48,9.74
67,501,467,491,499,489,459,518,532,496,548,10.02,9.34,9.82,9.98,9.78,9.18,10.36,10.64,9.92,10.96
68,488,494,506,527,503,493,496,508,507,478,9.76,9.88,10.12,10.54,10.06,9.86,9.92,10.16,10.14,9.56
69,512,483,470,538,557,448,482,516,480,514,10.24,9.66,9.4,10.76,11.14,8.96,9.64,10.32,9.6,10.28
70,473,515,513,482,480,532,520,485,500,500,9.46,10.3,10.26,9.64,9.6,10.64,10.4,9.7,10.0,10.0
71,479,440,515,518,534,491,494,539,509,481,9.58,8.8,10.3,10.36,10.68,9.82,9.88,10.78,10.18,9.62
72,530,523,493,488,483,488,532,494,475,494,10.6,10.46,9.86,9.76,9.66,9.76,10.64,9.88,9.5,9.88
73,527,481,505,514,503,508,505,478,487,492,10.54,9.62,10.1,10.28,10.06,10.16,10.1,9.56,9.74,9.84
74,469,514,529,489,495,506,504,491,492,511,9.38,10.28,10.58,9.78,9.9,10.12,10.08,9.82,9.84,10.22
75,511,492,479,518,481,507,513,516,500,483,10.22,9.84,9.58,10.36,9.62,10.14,10.26,10.32,10.0,9.66
76,506,508,474,455,475,506,514,529,509,524,10.12,10.16,9.48,9.1,9.5,10.12,10.28,10.58,10.18,10.48
77,504,480,513,477,483,495,546,484,516,502,10.08,9.6,10.26,9.54,9.66,9.9,10.92,9.68,10.32,10.04
78,475,502,538,495,489,504,482,496,510,509,9.5,10.04,10.76,9.9,9.78,10.08,9.64,9.92,10.2,10.18
79,567,502,493,504,523,466,486,509,455,495,11.34,10.04,9.86,10.08,10.46,9.32,9.72,10.18,9.1,9.9
80,529,521,486,482,498,533,477,472,499,503,10.58,10.42,9.72,9.64,9.96,10.66,9.54,9.44,9.98,10.06
81,494,518,494,479,512,510,503,501,500,489,9.88,10.36,9.88,9.58,10.24,10.2,10.06,10.02,10.0,9.78
82,482,471,496,493,484,498,518,493,526,539,9.64,9.42,9.92,9.86,9.68,9.96,10.36,9.86,10.52,10.78
83,508,504,505,469,489,502,521,483,499,520,10.16,10.08,10.1,9.38,9.78,10.04,10.42,9.66,9.98,10.4
84,492,544,475,453,493,511,511,505,481,535,9.84,10.88,9.5,9.06,9.86,10.22,10.22,10.1,9.62,10.7
85,483,469,482,532,478,496,507,514,511,528,9.66,9.38,9.64,10.64,9.56,9.92,10.14,10.28,10.22,10.56
86,525,497,492,510,486,521,505,490,476,498,10.5,9.94,9.84,10.2,9.72,10.42,10.1,9.8,9.52,9.96
87,499,491,538,473,516,501,484,525,492,481,9.98,9.82,10.76,9.46,10.32,10.02,9.68,10.5,9.84,9.62
88,496,480,509,513,485,518,492,499,503,505,9.92,9.6,10.18,10.26,9.7,10.36,9.84,9.98,10.06,10.1
89,475,539,498,511,476,489,488,492,529,503,9.5,10.78,9.96,10.22,9.52,9.78,9.76,9.84,10.58,10.06
90,481,479,499,516,497,530,519,481,478,520,9.62,9.58,9.98,10.32,9.94,10.6,10.38,9.62,9.56,10.4
91,487,504,469,497,522,515,504,449,532,521,9.74,10.08,9.38,9.94,10.44,10.3,10.08,8.98,10.64,10.42
92,503,480,505,553,497,481,507,529,484,461,10.06,9.6,10.1,11.06,9.94,9.62,10.14,10.58,9.68,9.22
93,491,503,496,495,494,541,487,484,492,517,9.82,10.06,9.92,9.9,9.88,10.82,9.74,9.68,9.84,10.34
94,529,452,517,503,460,501,518,501,498,521,10.58,9.04,10.34,10.06,9.2,10.02,10.36,10.02,9.96,10.42
95,489,506,502,514,490,534,474,487,484,520,9.78,10.12,10.04,10.28,9.8,10.68,9.48,9.74,9.68,10.4
96,504,479,486,484,534,502,505,537,476,493,10.08,9.58,9.72,9.68,10.68,10.04,10.1,10.74,9.52,9.86
97,492,489,544,488,526,495,469,489,521,487,9.84,9.78,10.88,9.76,10.52,9.9,9.38,9.78,10.42,9.74
98,516,464,490,521,466,527,504,498,489,525,10.32,9.28,9.8,10.42,9.32,10.54,10.08,9.96,9.78,10.5
99,558,493,514,474,534,465,509,489,470,494,11.16,9.86,10.28,9.48,10.68,9.3,10.18,9.78,9.4,9.88
100,524,500,507,480,514,488,466,510,491,520,10.48,10.0,10.14,9.6,10.28,9.76,9.32,10.2,9.82,10.4
101,491,483,506,463,498,503,485,522,496,553,9.82,9.66,10.12,9.26,9.96,10.06,9.7,10.44,9.92,11.06
102,491,476,510,526,562,474,465,510,487,499,9.82,9.52,10.2,10.52,11.24,9.48,9.3,10.2,9.74,9.98
103,489,494,479,555,472,491,514,494,513,499,9.78,9.88,9.58,11.1,9.44,9.82,10.28,9.88,10.26,9.98
104,501,505,494,491,471,530,521,503,467,517,10.02,10.1,9.88,9.82,9.42,10.6,10.42,10.06,9.34,10.34
105,478,491,512,460,485,500,539,516,483,536,9.56,9.82,10.24,9.2,9.7,10.0,10.78,10.32,9.66,10.72
106,479,518,531,515,524,486,503,481,447,516,9.58,10.36,10.62,10.3,10.48,9.72,10.06,9.62,8.94,10.32
107,500,512,510,515,492,484,488,503,500,496,10.0,10.24,10.2,10.3,9.84,9.68,9.76,10.06,10.0,9.92
109,520,455,525,490,474,510,512,509,480,525,10.4,9.1,10.5,9.8,9.48,10.2,10.24,10.18,9.6,10.5
110,480,545,481,469,546,487,528,493,503,468,9.6,10.9,9.62,9.38,10.92,9.74,10.56,9.86,10.06,9.36
111,540,513,454,492,532,509,506,491,478,485,10.8,10.26,9.08,9.84,10.64,10.18,10.12,9.82,9.56,9.7
491,513,532,483,520,491,520,485,475,490,9.82,10.26,10.64,9.66,10.4,9.82,10.4,9.7,9.5,9.8
489,498,491,524,544,466,499,498,475,516,9.78,9.96,9.82,10.48,10.88,9.32,9.98,9.96,9.5,10.32
459,488,501,512,478,514,522,511,479,536,9.18,9.76,10.02,10.24,9.56,10.28,10.44,10.22,9.58,10.72
504,507,501,464,508,497,487,487,525,520,10.08,10.14,10.02,9.28,10.16,9.94,9.74,9.74,10.5,10.4
517,491,503,466,503,520,507,490,487,516,10.34,9.82,10.06,9.32,10.06,10.4,10.14,9.8,9.74,10.32
499,522,515,477,466,501,490,496,534,500,9.98,10.44,10.3,9.54,9.32,10.02,9.8,9.92,10.68,10.0
470,509,515,480,490,501,466,517,498,554,9.4,10.18,10.3,9.6,9.8,10.02,9.32,10.34,9.96,11.08
531,504,495,522,484,461,496,505,475,527,10.62,10.08,9.9,10.44,9.68,9.22,9.92,10.1,9.5,10.54
491,481,514,495,504,498,487,535,478,517,9.82,9.62,10.28,9.9,10.08,9.96,9.74,10.7,9.56,10.34
523,485,486,509,503,496,512,525,457,504,10.46,9.7,9.72,10.18,10.06,9.92,10.24,10.5,9.14,10.08
505,514,528,516,489,460,468,468,526,526,10.1,10.28,10.56,10.32,9.78,9.2,9.36,9.36,10.52,10.52
525,521,540,488,511,493,475,491,472,484,10.5,10.42,10.8,9.76,10.22,9.86,9.5,9.82,9.44,9.68
519,488,503,518,526,513,489,447,485,512,10.38,9.76,10.06,10.36,10.52,10.26,9.78,8.94,9.7,10.24
504,497,469,544,499,520,511,493,468,495,10.08,9.94,9.38,10.88,9.98,10.4,10.22,9.86,9.36,9.9
532,516,493,548,486,477,460,479,494,515,10.64,10.32,9.86,10.96,9.72,9.54,9.2,9.58,9.88,10.3
502,500,498,509,477,544,478,466,554,472,10.04,10.0,9.96,10.18,9.54,10.88,9.56,9.32,11.08,9.44
511,513,458,473,506,515,495,513,532,484,10.22,10.26,9.16,9.46,10.12,10.3,9.9,10.26,10.64,9.68
468,528,511,513,505,484,507,463,506,515,9.36,10.56,10.22,10.26,10.1,9.68,10.14,9.26,10.12,10.3
489,466,486,516,501,521,473,515,519,514,9.78,9.32,9.72,10.32,10.02,10.42,9.46,10.3,10.38,10.28
468,534,465,524,518,487,478,515,509,502,9.36,10.68,9.3,10.48,10.36,9.74,9.56,10.3,10.18,10.04
